label,1X1,1X2,1X3,2X1,2X2,2X3,3X1,3X2,3X3,4X1,4X2,4X3,5X1,5X2,5X3,6X1,6X2,6X3,7X1,7X2,7X3,8X1,8X2,8X3,9X1,9X2,9X3,10X1,10X2,10X3,11X1,11X2,11X3,12X1,12X2,12X3,13X1,13X2,13X3,14X1,14X2,14X3,15X1,15X2,15X3,16X1,16X2,16X3,17X1,17X2,17X3,18X1,18X2,18X3,19X1,19X2,19X3,20X1,20X2,20X3,21X1,21X2,21X3,22X1,22X2,22X3,23X1,23X2,23X3,24X1,24X2,24X3,25X1,25X2,25X3,26X1,26X2,26X3,27X1,27X2,27X3,28X1,28X2,28X3,29X1,29X2,29X3,30X1,30X2,30X3,31X1,31X2,31X3,32X1,32X2,32X3,33X1,33X2,33X3,34X1,34X2,34X3,35X1,35X2,35X3,36X1,36X2,36X3,37X1,37X2,37X3,38X1,38X2,38X3,39X1,39X2,39X3,40X1,40X2,40X3
reverse,0.04,0.15,2.22,0.47,-0.09,2.48,0.07,-0.02,2.19,-0.19,0.21,1.85,0.13,-0.03,1.42,0.09,-0.22,1.56,0.01,-0.65,1.93,-0.22,-0.56,1.64,-0.14,-1.33,0.82,-0.01,-1.86,2.25,0.11,-1.65,2.0,0.02,-1.97,1.8,-1.52,-1.44,2.2,-0.79,-1.22,1.51,0.25,-1.45,-0.62,0.21,-0.16,-0.93,0.9,1.16,-0.39,0.16,2.12,0.58,-0.63,3.27,1.75,-0.69,3.41,2.55,-0.61,3.53,2.88,-1.08,3.67,3.67,0.54,2.89,6.0,-0.18,2.5,6.52,0.19,2.07,6.48,-0.29,1.71,6.06,0.18,0.39,4.86,-0.02,-1.2,2.82,0.98,-3.04,-0.86,1.22,-3.84,-1.78,1.1,-4.1,-3.29,1.94,-5.67,-4.34,1.67,-4.76,-4.91,1.26,-1.41,-2.43,0.32,0.67,-1.33,-0.59,1.93,-1.19,-1.24,3.24,3.12,-1.3,4.42,5.22,-1.71,4.7,7.99,-5.14,5.12,10.0
reverse,-0.17,0.01,1.92,-0.18,0.01,1.91,-0.18,0.01,1.88,-0.18,-0.04,1.91,-0.21,0.01,1.88,-0.18,0.0,1.89,-0.14,-0.02,1.96,-0.17,0.01,1.88,-0.27,-0.01,1.86,-0.21,-0.01,1.88,-0.16,0.01,1.88,-0.19,0.04,1.92,-0.33,-0.02,1.93,-0.89,-0.01,1.94,-0.94,-0.02,1.84,-0.42,0.0,1.93,0.05,0.24,1.82,1.03,-0.06,2.17,0.61,-0.01,2.07,4.79,2.61,2.8,-1.72,-0.07,1.78,-0.77,-0.28,1.89,-0.89,-0.69,1.87,-0.68,-0.91,1.87,0.0,-0.51,1.89,-0.45,-1.54,2.0,-0.61,-0.86,1.99,-0.55,0.54,2.21,0.29,0.77,3.16,0.5,0.54,4.15,0.22,-0.71,4.45,0.12,-0.98,4.18,0.56,-1.05,3.25,0.89,-1.53,2.77,1.14,-2.21,3.11,1.59,-2.52,2.59,2.27,-2.75,0.88,1.96,-2.89,0.62,2.04,-3.1,0.2,3.1,-3.35,0.8
reverse,-0.18,-0.02,1.89,-0.18,-0.02,1.94,-0.16,0.03,1.94,-0.16,0.04,1.91,-0.15,0.01,1.91,-0.16,0.01,1.9,-0.19,0.02,1.96,-0.14,0.0,1.91,-0.14,0.0,1.89,-0.16,-0.01,1.89,-0.17,0.02,1.9,-0.15,-0.01,1.9,-0.16,0.0,1.92,-0.17,0.0,1.89,-0.15,0.0,1.91,-0.16,-0.01,1.93,-0.15,0.01,1.91,-0.15,0.01,1.92,-0.13,0.0,1.91,-0.13,-0.01,1.92,-0.14,0.02,1.93,-0.17,0.01,1.92,-0.15,0.0,1.93,-0.14,0.01,1.92,-0.15,0.0,1.91,-0.13,0.0,1.9,-0.19,0.0,1.89,-0.17,0.0,1.92,-0.16,0.02,1.88,-0.18,-0.02,1.91,-0.14,0.04,1.92,-0.15,0.01,1.89,-0.16,0.01,1.91,-0.15,-0.01,1.9,-0.17,0.0,1.93,-0.17,-0.01,1.93,-0.15,0.02,1.96,-0.17,0.0,1.96,-0.16,-0.01,1.92,-0.17,-0.03,1.88
reverse,-0.16,0.02,1.92,-0.15,0.0,1.91,-0.19,0.01,1.93,-0.16,0.01,1.89,-0.19,0.01,1.94,-0.17,0.01,1.88,-0.13,0.0,1.9,-0.16,0.02,1.93,-0.19,0.0,1.92,-0.17,-0.01,1.89,-0.16,0.02,1.9,-0.16,0.01,1.89,-0.16,0.02,1.95,-0.14,0.01,1.94,-0.16,-0.01,1.92,-0.18,-0.01,1.88,-0.09,0.01,1.87,-0.14,-0.01,1.85,-0.16,0.03,1.94,-0.16,0.0,1.92,-0.17,0.01,1.92,-0.18,0.01,1.91,-0.18,0.01,1.88,-0.18,-0.04,1.91,-0.21,0.01,1.88,-0.18,0.0,1.89,-0.14,-0.02,1.96,-0.17,0.01,1.88,-0.27,-0.01,1.86,-0.21,-0.01,1.88,-0.16,0.01,1.88,-0.19,0.04,1.92,-0.33,-0.02,1.93,-0.89,-0.01,1.94,-0.94,-0.02,1.84,-0.42,0.0,1.93,0.05,0.24,1.82,1.03,-0.06,2.17,0.61,-0.01,2.07,4.79,2.61,2.8
reverse,3.53,-4.18,0.85,3.76,-4.26,0.86,4.27,-4.27,-0.07,4.35,-3.87,-0.87,4.52,-3.95,-1.52,4.59,-4.07,-2.55,4.47,-4.31,-3.41,4.39,-4.06,-4.32,4.31,-3.23,-4.54,4.15,-2.27,-3.67,3.59,-1.35,-2.45,3.04,-0.38,-1.11,2.22,-0.16,-0.24,1.86,0.97,1.34,1.26,2.93,2.31,-0.1,5.16,2.46,-0.37,4.99,4.86,-1.89,7.27,5.73,-0.03,6.01,6.34,-1.31,6.62,5.84,0.04,0.15,2.22,0.47,-0.09,2.48,0.07,-0.02,2.19,-0.19,0.21,1.85,0.13,-0.03,1.42,0.09,-0.22,1.56,0.01,-0.65,1.93,-0.22,-0.56,1.64,-0.14,-1.33,0.82,-0.01,-1.86,2.25,0.11,-1.65,2.0,0.02,-1.97,1.8,-1.52,-1.44,2.2,-0.79,-1.22,1.51,0.25,-1.45,-0.62,0.21,-0.16,-0.93,0.9,1.16,-0.39,0.16,2.12,0.58,-0.63,3.27,1.75,-0.69,3.41,2.55
reverse,0.17,-0.23,1.95,0.13,-0.22,1.93,0.1,-0.2,1.98,0.09,-0.21,1.97,0.1,-0.22,1.94,0.11,-0.21,1.94,0.1,-0.17,1.94,0.1,-0.19,1.98,0.07,-0.18,1.93,0.08,-0.18,1.92,0.1,-0.19,1.86,0.09,-0.21,1.93,0.12,-0.21,1.89,0.05,-0.15,1.93,0.02,-0.18,1.95,0.09,-0.17,1.93,0.05,-0.17,1.93,0.03,-0.18,1.96,0.04,-0.15,1.95,0.03,-0.17,1.95,0.06,-0.19,1.9,0.06,-0.17,1.93,0.04,-0.15,1.91,0.05,-0.16,1.99,0.04,-0.16,1.91,0.04,-0.2,1.97,0.06,-0.16,1.9,0.01,-0.12,1.98,-0.03,-0.1,1.99,0.01,-0.09,1.85,-0.08,-0.11,1.99,-0.04,-0.09,1.91,-0.04,-0.11,1.93,-0.06,-0.08,1.91,-0.08,-0.1,1.92,-0.05,-0.08,1.92,-0.05,-0.07,1.91,-0.04,-0.1,1.9,-0.04,-0.1,1.94,-0.03,-0.1,1.9
reverse,-0.14,0.02,1.93,-0.17,0.01,1.92,-0.15,0.0,1.93,-0.14,0.01,1.92,-0.15,0.0,1.91,-0.13,0.0,1.9,-0.19,0.0,1.89,-0.17,0.0,1.92,-0.16,0.02,1.88,-0.18,-0.02,1.91,-0.14,0.04,1.92,-0.15,0.01,1.89,-0.16,0.01,1.91,-0.15,-0.01,1.9,-0.17,0.0,1.93,-0.17,-0.01,1.93,-0.15,0.02,1.96,-0.17,0.0,1.96,-0.16,-0.01,1.92,-0.17,-0.03,1.88,-0.14,0.01,1.91,-0.15,0.02,1.95,-0.15,0.01,1.85,-0.16,0.0,1.9,-0.16,0.0,1.94,-0.17,0.0,1.96,-0.16,0.0,2.01,-0.16,-0.02,1.87,-0.15,-0.02,1.94,-0.19,0.0,1.89,-0.18,-0.01,1.91,-0.17,0.01,1.91,-0.16,0.01,1.88,-0.17,-0.01,1.9,-0.17,0.0,1.86,-0.15,0.01,1.93,-0.18,0.0,1.92,-0.17,-0.02,1.93,-0.16,0.0,1.96,-0.16,0.01,1.89
reverse,-0.61,3.53,2.88,-1.08,3.67,3.67,0.54,2.89,6.0,-0.18,2.5,6.52,0.19,2.07,6.48,-0.29,1.71,6.06,0.18,0.39,4.86,-0.02,-1.2,2.82,0.98,-3.04,-0.86,1.22,-3.84,-1.78,1.1,-4.1,-3.29,1.94,-5.67,-4.34,1.67,-4.76,-4.91,1.26,-1.41,-2.43,0.32,0.67,-1.33,-0.59,1.93,-1.19,-1.24,3.24,3.12,-1.3,4.42,5.22,-1.71,4.7,7.99,-5.14,5.12,10.0,-0.24,4.28,10.61,-1.68,4.44,7.84,-2.25,3.88,5.97,-1.8,2.31,3.46,-0.47,-1.02,-3.15,0.76,-1.32,-5.38,1.28,-2.31,-6.95,1.16,-2.37,-5.96,0.72,-1.92,-0.38,0.21,-2.02,3.46,-0.03,-1.31,4.2,-0.51,-0.41,4.49,-1.26,0.88,3.2,-2.16,2.6,5.35,-1.8,3.68,3.29,-1.64,3.61,2.7,-2.83,4.27,1.24,-3.03,3.95,0.72,-2.87,3.84,1.54,-2.45,2.49,1.76
reverse,-0.24,4.28,10.61,-1.68,4.44,7.84,-2.25,3.88,5.97,-1.8,2.31,3.46,-0.47,-1.02,-3.15,0.76,-1.32,-5.38,1.28,-2.31,-6.95,1.16,-2.37,-5.96,0.72,-1.92,-0.38,0.21,-2.02,3.46,-0.03,-1.31,4.2,-0.51,-0.41,4.49,-1.26,0.88,3.2,-2.16,2.6,5.35,-1.8,3.68,3.29,-1.64,3.61,2.7,-2.83,4.27,1.24,-3.03,3.95,0.72,-2.87,3.84,1.54,-2.45,2.49,1.76,-2.19,1.54,2.53,-13.74,6.61,10.01,-0.75,-1.9,-0.21,-2.28,-0.02,1.66,-0.89,0.69,1.82,3.01,2.02,2.13,-0.04,0.18,2.01,-0.89,-0.11,1.82,-1.12,-0.37,1.81,-0.57,-0.31,1.88,-0.42,-0.35,1.93,-0.27,-0.41,1.89,-0.11,-0.43,1.92,0.07,-0.44,1.99,0.26,-0.48,1.95,0.42,-0.48,2.02,0.11,-0.3,1.93,0.15,-0.2,1.91,0.13,-0.21,1.96,0.17,-0.18,1.94
