r_upleg_JNTa_x,r_upleg_JNTa_y,r_upleg_JNTa_z,r_upleg_JNTw_x,r_upleg_JNTw_y,r_upleg_JNTw_z,label,
-57.87048,-17.12646,-48.07739,-4.194591,5.675049,5.209732,reverse,
-4.196167,-1.278687,-4.553223,-3.894732,5.318909,4.29245,reverse,
-4.049683,1.257324,-0.6835938,-2.538987,8.123779,3.03381,reverse,
-0.2105713,2.084351,2.932739,-2.246967,9.976196,2.833252,reverse,
-6.19812,-0.7019043,-2.865601,3591.864,6.817322,0.1200104,reverse,
-3.356934,0.5126953,2.706909,-12.45117,5.247498,-1.763382,reverse,
-7.904053,4.187012,8.963013,-10.7019,8.374176,-8.270588,reverse,
-20.78552,7.70874,1.35498,-8.586731,16.49384,-22.3443,reverse,
-0.5249023,-16.63208,-10.92224,-3.342285,15.87189,-19.94641,reverse,
5.79834,-19.11011,-24.15771,3.589783,11.5477,-13.12168,reverse,
-0.78125,-4.953003,0.2807617,4.919739,11.75369,-13.83219,reverse,
1.257324,-8.325195,-5.41687,7.480164,10.15244,-13.84986,reverse,
-0.1403809,-2.932739,1.724243,7.91748,10.13336,-13.85619,reverse,
-4.956055,-36.77979,-4.705811,-3583.234,5.653229,-26.25407,reverse,
7.13501,2.798462,-8.486938,16.4955,-0.9420776,-21.26184,reverse,
-2.618408,-90.25574,-26.96533,44.86655,-24.57932,-47.46817,reverse,
19.80896,-0.01525879,15.34119,37.19582,-27.79114,3551.537,reverse,
8.392334,57.05261,4.092407,20.10353,-20.20355,-30.08209,reverse,
0.8880615,19.87,2.91748,14.24477,-17.13165,-24.46014,reverse,
2.79541,20.69397,-5.004883,13.97731,-15.40787,-19.18518,reverse,
0.3601074,4.840088,-1.831055,13.19181,-15.32913,-18.24554,reverse,
-0.6713867,37.26807,-10.97717,11.70996,-12.36511,-10.57251,reverse,
-5.361938,10.02502,10.84595,7.14613,-7.440186,-5.553589,reverse,
29.6875,-9.503174,18.58521,6.401558,2.136688,-1.112976,reverse,
14.9292,-8.624268,18.09692,0.8829308,13.75809,5.965271,reverse,
4.086304,-34.84802,-44.30542,28.25649,-7.576141,-0.6640625,reverse,
-23.48938,3.265381,-13.09204,28.87724,-15.28397,-5.236511,reverse,
6.344604,-27.09351,14.64233,13.39399,-6.630402,-3.126221,reverse,
-0.01525879,-1.477051,16.60461,6.957893,-3.02124,-1.858215,reverse,
-1.193237,-4.672241,19.14978,5.263729,-4.32312,-2.861633,reverse,
-3.695679,4.754639,13.84888,3.698559,-4.902039,-3.348694,reverse,
-12.65259,28.44849,13.28125,3.180103,-8.140259,-3.830566,reverse,
-13.49487,26.80054,2.380371,2.408962,-10.12527,-3.85437,reverse,
-9.20105,18.16711,-15.55176,0.9767914,-6.184235,-1.702881,reverse,
-9.448242,18.27393,-15.94849,-0.4333496,-2.275391,0.5218506,reverse,
0.1434326,-1.339722,-1.657104,-0.6371307,-1.658783,0.8056641,reverse,
-1.870728,0.01220703,-0.7049561,-1.421947,-0.2763367,1.829834,reverse,
1.126099,-1.522827,-2.13623,-1.290874,-0.1957703,1.613159,reverse,
-0.6408691,1.043701,-4.06189,-1.500988,0.2609253,1.420593,reverse,
0.4272461,-0.1281738,-0.7324219,-1.529293,0.3599548,1.237183,reverse,
-17.12341,30.85938,2.053833,-5.762196,2.913208,0.9579468,reverse,
-11.79199,17.98706,6.811523,-7.975101,4.633026,1.290588,reverse,
11.67603,-27.22168,-3.500366,-4.807148,5.458984,1.660767,reverse,
-3.286743,4.589844,0.78125,-5.567379,6.117859,1.820984,reverse,
-5.450439,1.989746,-3.363037,-7.506676,8.192749,4.380188,reverse,
-0.2929688,1.49231,-0.4699707,-7.845154,8.113861,4.08783,reverse,
-2.72522,4.089355,-4.855347,-9.500046,9.641113,6.131897,reverse,
-0.4516602,1.51062,-1.998901,-10.19815,9.807129,6.260071,reverse,
-18.61877,40.51514,-14.83459,-20.52542,20.78873,13.27454,reverse,
-26.07422,58.60596,-14.29138,-36.99743,34.63654,19.17816,reverse,
64.19067,-100.3174,11.40747,-14.08058,11.71783,8.164673,reverse,
4.110718,-4.56543,1.394653,-13.51727,10.64926,7.364807,reverse,
2.670288,-2.423096,-7.388306,-14.00301,8.895874,9.793091,reverse,
2.230835,-1.919556,-3.29895,-14.362,7.837677,10.61676,reverse,
-0.6164551,1.922607,-6.329346,-15.66029,7.319489,13.12958,reverse,
-5.160522,16.41541,-23.92883,-23.10132,8.345795,22.83691,reverse,
4.611206,-9.32312,-22.06726,-24.32987,8.658447,27.789,reverse,
2.804565,0.8850098,-24.18823,-31.30399,9.912567,-3565.481,reverse,
7.116699,-31.25916,58.77075,3586.244,3.843384,14.14854,reverse,
2.11792,-8.685303,-34.73511,-16.53381,5.11734,14.82898,reverse,
9.280396,-8.612061,-7.998657,-23.93158,6.125031,18.95347,reverse,
-4.220581,-4.379272,33.00781,-11.47278,-0.1263428,7.604089,reverse,
2.050781,-1.104736,-7.119751,-10.22766,-1.634216,9.132805,reverse,
-7.000732,4.623413,59.45435,0,0,0,reverse,
10.53162,-0.982666,-61.85303,-1.636658,-6.25946,11.11314,reverse,
7.629395,0.1464844,-0.6225586,3.981018,-13.52798,14.36412,reverse,
12.42676,-0.579834,-11.0199,13.80188,-25.97153,21.1408,reverse,
-13.07983,-4.034424,38.91907,11.3446,-16.21597,10.25887,reverse,
-2.670288,-2.789307,13.83057,12.69531,-15.16449,6.246653,reverse,
-14.83765,8.239746,20.74585,0,0,0,reverse,
15.79285,-16.26892,-26.39771,20.58197,-18.20496,6.125965,reverse,
-12.54883,-0.7873535,6.326294,-3578.393,-10.78751,2.591743,reverse,
-5.874634,8.639526,12.24976,10.74749,-2.832336,0.3033447,reverse,
-35.21423,2.526855,17.55066,5.856347,-1.486969,-10.58772,reverse,
37.84485,5.889893,-9.729004,0,0,0,reverse,
-41.83044,-6.228638,12.31689,4.419918,-1.198425,-11.89998,reverse,
17.41943,5.914307,-5.169678,2.248538,-0.5154419,-7.280979,reverse,
-0.07019043,0.1495361,3.240967,-1.38912,-1.066284,-7.776937,reverse,
8.547974,0.2685547,16.12549,-22.61266,-3.808594,-7.62888,reverse,
-2.349854,-2.648926,2.29187,3575.22,-3.713379,-8.425827,reverse,
18.28308,2.545166,-28.80554,0,0,0,reverse,
-21.46912,-8.114624,19.5343,-21.14532,-1.841278,-9.680023,reverse,
-5.352783,-14.57825,-29.19006,-15.72998,3.860626,-10.35756,reverse,
18.15491,14.33411,2.172852,-4.059448,1.998138,-2.962036,reverse,
5.029297,4.150391,-2.029419,-0.4330444,1.823273,-0.5724621,reverse,
0.4608154,2.624512,0.1281738,0.5212402,1.600647,0.01599312,reverse,
3.17688,1.583862,9.384155,0,0,0,reverse,
-2.319336,2.13623,-8.737183,1.826782,1.231079,0.8406544,reverse,
0.692749,2.944946,-0.3173828,2.963867,1.0112,1.706581,reverse,
0.6988525,1.983643,0.1068115,3.723145,0.836792,2.319241,reverse,
10.97717,3.903198,-12.43591,14.50623,1.266479,7.183838,reverse,
-10.04944,-10.96802,21.38367,0,0,0,reverse,
27.54211,12.91504,-41.79688,-3567.952,3.00354,14.82162,reverse,
13.52844,-20.6543,1.953125,37.74948,3.81958,14.3496,reverse,
-14.70337,2.636719,41.18652,-1.689277,0.8798218,6.067991,reverse,
5.014038,-1.269531,0.1861572,-2.013214,1.01593,7.248764,reverse,
3.387451,3.863525,5.038452,-3.440359,5.289001,8.224535,reverse,
-34.76868,2.508545,-6.567383,0,0,0,reverse,
48.44666,3.311157,18.94531,-11.43007,11.21536,12.44784,reverse,
-6.018066,12.63123,16.86096,-23.38655,16.43036,12.38825,reverse,
3.701782,3.366089,11.18469,3570.018,19.33273,12.64809,reverse,
-45.14465,-2.389526,4.598999,-22.80151,16.73553,-2.564487,reverse,
-0.9857178,-16.91895,-51.58997,0,0,0,reverse,
-17.22412,17.93213,71.31042,-22.62604,20.54062,-14.9172,reverse,
-22.32056,-14.97192,1.040649,-9.254456,20.08667,-30.83486,reverse,
14.98108,-11.85913,-37.37488,0.9915161,10.63934,-20.62736,reverse,
-14.63928,-22.43958,25.13428,8.501282,20.30212,-38.15612,reverse,
2.084351,-42.91992,32.28455,19.57672,28.88168,-54.06242,reverse,
37.11853,74.25842,-92.39502,0,0,0,reverse,
-6.658936,-55.97534,77.37122,23.0072,19.01016,3568.782,reverse,
4.574585,27.23389,-49.04175,24.31305,11.73782,-13.91113,reverse,
5.065918,-1.168823,-3.353882,-3576.226,9.298553,-10.10223,reverse,
2.752686,-2.490234,-1.000977,24.25381,8.210297,-8.548889,reverse,
-5.734253,32.40051,-23.97461,0,0,0,reverse,
19.57703,-63.58032,35.74524,35.27101,10.3363,-9.499817,reverse,
46.90552,-95.52307,39.04724,66.67358,22.12418,-14.85962,reverse,
-24.93286,69.76318,-41.3269,34.37111,10.12985,-6.652527,reverse,
-18.02673,43.15796,-11.51428,19.39098,8.809357,0.3683472,reverse,
1.361084,-2.294922,-0.2655029,19.63276,8.939362,1.264038,reverse,
-24.88403,48.47717,-21.68579,0,0,0,reverse,
18.15796,-35.72083,20.27283,12.75408,6.947021,3.817749,reverse,
0.1831055,-2.380371,-0.3387451,12.56901,6.897888,4.684448,reverse,
-2.716064,1.052856,-0.8331299,9.71323,5.237274,6.408997,reverse,
4.229736,-14.99939,2.124023,8.861828,3.209229,5.877075,reverse,
32.32727,-91.5741,21.11816,13.12269,-1.550903,7.86438,reverse,
-52.18201,143.6218,-42.34314,0,0,0,reverse,
34.71069,-94.06128,20.84961,5.433178,-3.314667,-0.6109619,reverse,
-18.73169,52.65808,-12.87231,2.278309,-1.170654,-0.6243896,reverse,
3.103638,-6.222534,0.4150391,2.669182,-0.9403992,-0.7775879,reverse,
-9.060669,15.84473,-6.430054,2.93787,0.1792908,0.3112793,reverse,
-3.656006,3.814697,-3.271484,3.596802,0.861969,1.015625,reverse,
-6.365967,27.96631,1.309204,0,0,0,reverse,
-34.4574,18.59436,-17.8894,4.776554,7.228241,8.234863,reverse,
-21.0083,24.92676,-9.945679,5.101814,10.83939,12.28485,reverse,
-6.295776,21.55457,1.553345,2.503777,10.59052,11.69067,reverse,
-32.23267,50.33569,-14.94751,2.05904,17.01859,-3582.018,reverse,
93.99414,-115.4114,41.22925,0,0,0,reverse,
-98.13843,143.045,-46.39282,0.6232452,20.51437,19.82911,reverse,
60.10437,-76.76392,21.18835,1.034374,7.955322,7.422147,reverse,
-5.743408,18.396,-11.78894,1.08572,7.474365,7.324173,reverse,
9.136963,14.27612,-23.67554,0.4331589,-13.70667,-9.85078,reverse,
5.511475,-7.147217,-3.948975,-0.9619141,-16.45935,-11.92728,reverse,
16.70227,-38.90381,30.71594,-10.07345,-26.24313,-18.90441,reverse,
12.42676,-52.90222,33.90198,0,0,0,reverse,
-13.77869,51.11084,-34.1095,-12.30371,-26.63849,3582.022,reverse,
-9.011841,4.815674,-1.773071,-19.64277,-31.73157,-18.1543,reverse,
-13.9801,21.80176,-14.48669,-34.80455,-42.56851,-20.68024,reverse,
12.68921,-32.82471,20.06836,-24.3568,-24.34952,-9.349976,reverse,
-5.053711,-8.081055,-37.86316,-31.22427,-16.772,-2.952271,reverse,
4.867554,-4.882813,28.34778,-39.07277,-19.80026,-1.469727,reverse,
13.16833,-10.90698,-2.120972,-37.77538,-13.81958,4.532471,reverse,
12.52441,-15.7196,2.532959,-23.36405,-3.391418,7.466431,reverse,
11.00769,2.081299,13.07068,-26.24598,-1.937103,13.52997,reverse,
7.156372,1.559448,9.646606,-27.38102,-1.414185,16.91925,reverse,
5.014038,5.01709,6.967163,3573.622,-2.880707,20.46692,reverse,
-24.60327,-13.97095,9.719849,0,0,0,reverse,
30.13611,15.24048,-8.059692,-29.28986,-4.552765,-3575.494,reverse,
40.802,21.86279,-43.8324,-64.086,-20.57922,62.7435,reverse,
-36.87439,-26.95923,20.68787,-27.71118,-12.75116,28.94529,reverse,
-25.85754,-7.458496,15.20691,-6.451416,-4.697418,6.330395,reverse,
2.203369,0.5706787,-5.273438,-7.65564,-6.576538,7.76741,reverse,
-5.987549,3.326416,-0.2319336,-1.992188,-7.411957,2.386103,reverse,
0.4241943,1.190186,0.1220703,-0.743103,-8.748016,2.271881,reverse,
0.2319336,5.386353,3.393555,5.090027,-12.90115,0.8674622,reverse,
5.285645,-1.156616,-5.853271,11.86279,-15.90363,5.092678,reverse,
-10.36377,-12.00256,23.84033,0,0,0,reverse,
23.24219,14.03809,-46.97266,33.14819,-29.98932,14.55445,reverse,
-9.93042,-12.92114,13.40637,27.98126,-24.8642,9.719992,reverse,
-6.442261,-20.51392,3.726196,30.83374,-28.91861,8.132648,reverse,
