acc_x_fc,acc_x_mf,acc_x_rmsf,acc_x_vf,acc_x_std,acc_y_fc,acc_y_mf,acc_y_rmsf,acc_y_vf,acc_y_std,acc_z_fc,acc_z_mf,acc_z_rmsf,acc_z_vf,acc_z_std
3.241188212816519,166.04046395337963,3.5186070481663574,1.8752945285052312,1.3694139361439372,3.489194302160391,5214091.220976745,3.6317088062038207,1.0148319748298462,1.0073886910373007,3.4781953329858073,97486.00842890414,3.6255711693771353,1.0469235298144384,1.023192811651078
2.890538317572292,139.32046045566642,3.3286332001412546,2.7245872157289495,1.6506323684360942,2.595803560463174,199.79450881705515,3.0841979844286604,2.77408108264052,1.6655572889097872,2.6984583445505343,679.5132688354049,3.1287059178597305,2.5071232831760875,1.5833898077151083
2.850203888881542,246.12744790639508,3.24876791308996,2.430830744927431,1.5591121656017668,2.774558266730575,301.20784996850375,3.17373195278036,2.374400932616064,1.5409091253594627,2.7176767409022755,744.5201982667656,3.1211895829275167,2.3560575445340324,1.5349454532764455
3.341514238162468,461.1638647464042,3.613517275726197,1.891789698129173,1.3754234613853193,3.621512708058177,902.9366124254702,3.802625291748299,1.3446048148169718,1.1595709615271381,3.4789422230304,2073.4751346332027,3.6945732837945804,1.5468327581449663,1.2437173144026605
3.374138343853783,524.8311073997795,3.6248187877001112,1.754501680199354,1.3245760379077351,3.5328382153648805,1108.8454888680499,3.70286138809641,1.2302366035127559,1.1091603146131563,3.4457517566029585,2650.31733345594,3.6287461487558166,1.2945934439778044,1.1378020231911192
3.195583954437097,614.7042893906598,3.470885302804077,1.8352879753655151,1.354728007891442,3.3943268377495857,1063.944601953784,3.574156132545335,1.2531373783443214,1.1194361877053651,3.2298364141250073,2693.153062656796,3.4334925987929625,1.3570281639581627,1.1649155179489037
3.20950929760928,562.1222489619219,3.490599272475943,1.8833333495691713,1.3723459292646192,3.4191589355829435,1092.357274855294,3.619633324472954,1.4110975768584444,1.1878962820290517,3.20043115706029,2780.488651426645,3.418676962065671,1.4445925798762995,1.2019120516395114
2.8866615717101407,447.16079962447714,3.206615008722266,1.949564784574836,1.3962681635612968,2.756625652790246,510.87652816783685,3.040333486394194,1.6446427188686241,1.2824362435882044,2.790864068689588,1746.970618849676,3.0447998202294877,1.4818836953669219,1.2173264539008926
2.7656292171902503,385.90416951305934,3.125526778352066,2.120212675219488,1.4560950089947728,2.38757850728243,338.1928118749074,2.808874744968682,2.1892462044858823,1.4796101528733445,2.5638889478537306,1207.7024136661319,2.9264101674776266,1.990349931389919,1.4107976224072392
2.83710448801794,352.852483707426,3.1955847225927156,2.1625998433364293,1.4705780643462725,2.3312202781722693,280.45867752828383,2.763449107521256,2.202062984498435,1.483934966397933,2.637273437100223,1197.5229849316468,2.9694384808117205,1.8623537092909948,1.364680808574296
3.0795564873440604,501.03092970139676,3.4098559163841364,2.1434492117570105,1.4640523254846496,2.6877219191531587,381.5229570381008,3.0986394023611132,2.377717031168499,1.541984770083187,2.6876700564815112,1477.0233667322057,3.014717192413665,1.8649494177272006,1.3656315087633268
3.1426320476287457,453.5052713338873,3.4630083891054317,2.1162909162313555,1.4547477156645943,2.729294487346733,359.8901021238584,3.1378584996495738,2.397107565161807,1.5482595277154947,2.5401476498267117,1267.1304686755168,2.8837535924041546,1.8636846987836997,1.3651683774478882
3.201933261475604,417.7455177289354,3.4933469494254936,1.9510962981166025,1.3968164869146564,2.9834598462359407,342.3399168289099,3.297168342474792,1.9702864245157856,1.4036689155622795,2.717599685646367,1350.5443180166144,3.0122931239923143,1.6885618134261395,1.299446733585544
3.2917512464293384,479.926699902596,3.5725979314410643,1.927829711367868,1.388463075262669,2.8461466987477335,351.41383215988037,3.1931829213184453,2.0958661382071764,1.4477106541734008,2.7943661777126776,1088.6709797497485,3.1090457031308927,1.857682849012108,1.3629683961897678
3.209449363247217,487.4212427925997,3.4787324383771647,1.801014162569567,1.3420186893518165,2.577841924283196,276.2720231883344,2.9554305061528576,2.089300490106844,1.4454412786781912,2.808469854158521,1408.6918703665367,3.1084032777788515,1.7746680155891261,1.3321666620919195
3.2731200078684615,488.10413884750415,3.537881969005733,1.8032942407070462,1.3428679163294677,2.6704376370925673,291.1110953210541,3.0857269460919325,2.390473612237311,1.5461156529306956,2.758190140877776,1433.8814767066701,3.065479768100816,1.7895533554000667,1.3377418866881856
3.2695810875895908,664.9768545026363,3.501391303051459,1.5695805687608633,1.2528290261487651,2.790757786927181,287.9578505348444,3.161836717510366,2.20888240290203,1.486230938616886,2.793982619978456,1378.3315826386574,3.0874188255730837,1.725816123761403,1.313703209922775
3.1953420580446177,671.0006024232698,3.4537135143521223,1.7179261713096767,1.3106968266192136,2.973274847996583,605.6310039703214,3.2472113137068437,1.704017994136624,1.3053804020807973,2.8607311832179154,2180.5460105128886,3.100219917757548,1.4275806358252399,1.1948140591009297
3.169500590480314,532.7806641826329,3.4410732826922428,1.7952513438033066,1.3398698980883579,3.0015809565793523,562.7825295652005,3.266000868323822,1.6572734329921432,1.287351324616611,2.8118764165498864,1422.3908275595447,3.0456837065388505,1.3695402583268028,1.1702735826834694
3.0614992924082958,513.3924718339374,3.3451398778179255,1.817182884751228,1.3480292596050087,3.004336229575635,547.7675311113456,3.247295015051145,1.5188887344352722,1.2324320404936218,2.802169112608517,1468.628020705544,3.0358161727346835,1.3640280989802598,1.1679161352512688
2.926987004028893,407.2836897871946,3.2383569889479027,1.9197030661136931,1.3855334951251423,2.9338572915209475,559.604182677617,3.2037042194766503,1.656202118881862,1.2869351649876781,2.6928729319981093,1436.2757673486408,2.9370551805019876,1.3747285054254672,1.1724881685652386
2.9062960701625937,423.0732452229865,3.22987827448296,1.985556820534491,1.409097874717896,2.7632928695286165,252.26914348230767,3.194648073847408,2.5699888329492615,1.603118471276924,2.1606736478098774,696.8404562511092,2.5901605385815554,2.0404210032850503,1.4284330587343077
2.727938314940886,428.5471196605675,3.055796301554958,1.8962435864744402,1.3770416066606121,2.6609113343510185,247.100413006072,3.0581427604956724,2.2717880142943723,1.507245173916431,2.398488244031818,866.6495407436294,2.7400707364428034,1.755241783951372,1.324855382278146
