label,Average_energy,Acceleration_mean(3-axis)_x,Acceleration_mean(3-axis)_y,Acceleration_mean(3-axis)_z,Acceleration_std(3-axis)_x,Acceleration_std(3-axis)_y,Acceleration_std(3-axis)_z,Acceleration_max(3-axis)_x,Acceleration_max(3-axis)_y,Acceleration_max(3-axis)_z,Acceleration_min(3-axis)_x,Acceleration_min(3-axis)_y,Acceleration_min(3-axis)_z,Acceleration_pv(3-axis)_x,Acceleration_pv(3-axis)_y,Acceleration_pv(3-axis)_z,Synthetic_acceleration_mean,Synthetic_acceleration_std,
knee,51.98893,0.09355517,0.169792,-0.5458823,10.19805,30.98554,30.61413,32.16095,92.87872,102.3682,-27.10266,-107.103,-110.6659,59.26361,199.9817,213.0341,35.15782,27.66933,
knee,52.90038,0.2801892,-1.105747,0.06595701,9.308801,33.32488,33.39984,27.72522,92.87872,102.3682,-27.10266,-136.0809,-110.6659,54.82788,228.9596,213.0341,36.50281,31.33051,
knee,49.03122,-1.07996,-0.2280232,1.61995,8.590032,29.73597,30.40215,24.80469,62.68921,96.698,-27.10266,-136.0809,-104.4128,51.90735,198.7701,201.1108,33.37101,27.79435,
knee,55.67318,0.0129127,-0.91444,1.065598,11.69786,38.44241,29.90883,46.16241,150.8148,96.698,-41.65497,-136.0809,-104.4128,87.81738,286.8957,201.1108,37.87645,32.81071,
knee,54.71166,-0.2500726,0.4986003,-0.5721661,11.41898,37.99432,30.41591,46.16241,150.8148,96.698,-41.65497,-136.0809,-104.4128,87.81738,286.8957,201.1108,36.94361,33.68822,
knee,55.06701,0.5516433,-0.03034558,-1.106072,11.94394,37.39801,28.05433,46.16241,150.8148,71.71631,-41.65497,-119.2978,-71.19751,87.81738,270.1126,142.9138,36.91027,31.10426,
knee,55.80286,0.7440184,0.8721356,-1.620407,12.43244,37.63901,29.42038,46.16241,150.8148,111.2335,-41.65497,-119.2978,-71.19751,87.81738,270.1126,182.431,37.40585,32.27324,
knee,51.07302,-0.3234294,0.2618418,-0.1289749,10.21048,30.72992,28.53451,26.5686,100.441,111.2335,-23.59009,-72.40753,-71.19751,50.15869,172.8485,182.431,33.94967,26.65353,
knee,55.34924,0.03499951,-1.366214,1.174965,12.73598,32.48275,29.53389,38.39111,100.441,111.2335,-23.59009,-80.04761,-77.27661,61.9812,180.4886,188.5101,36.76024,27.23082,
knee,49.95526,-0.7801059,0.4367832,0.5790709,11.81575,31.85075,26.5271,38.39111,115.6158,111.2335,-23.59009,-102.8854,-77.27661,61.9812,218.5012,188.5101,33.34635,27.32994,
knee,53.9827,0.2187346,-0.8979419,0.5194473,13.36317,34.07436,28.81459,41.50543,115.6158,102.6886,-42.10663,-102.8854,-77.27661,83.61206,218.5012,179.9652,36.14456,29.40428,
knee,50.39927,0.169277,0.9337608,-0.5266572,13.74088,32.30302,28.48577,41.50543,115.6158,102.6886,-42.10663,-102.8854,-77.27661,83.61206,218.5012,179.9652,33.64808,30.21126,
knee,48.5967,-0.2521324,0.8783712,-1.498756,13.10315,35.64355,25.48383,41.50543,115.6158,102.6886,-42.10663,-102.8854,-69.43359,83.61206,218.5012,172.1222,33.39867,31.29204,
knee,51.53035,0.3503035,-0.09172444,-0.1161195,13.67457,35.31449,27.75245,41.50543,101.4648,102.6886,-42.10663,-113.1607,-69.43359,83.61206,214.6255,172.1222,35.02367,31.26967,
