l_upleg_JNTa_x,l_upleg_JNTa_y,l_upleg_JNTa_z,l_upleg_JNTw_x,l_upleg_JNTw_y,l_upleg_JNTw_z,label,
-1.342773,0.2166748,3.701782,-19.57927,-26.41998,-4.284668,ankle,
-20.24536,5.0354,35.46753,3546.219,-13.67188,-12.80792,ankle,
-4.614258,-7.888794,13.99841,-73.1424,-8.423157,-15.80444,ankle,
6.491089,2.13623,19.60754,-73.58948,4.467163,-11.82373,ankle,
3.079224,-7.095337,12.92419,-78.12286,14.81873,-13.2135,ankle,
13.48267,-6.866455,24.62463,-87.05109,28.83209,-15.34546,ankle,
39.56299,-85.22644,165.2344,-203.732,111.5977,-55.80353,ankle,
16.11328,-24.42017,-111.0901,-142.4484,176.3979,-128.0908,ankle,
-14.18152,61.73096,-89.14795,-54.23309,113.9388,-83.93127,ankle,
-0.9796143,-6.137085,-12.09717,-45.8197,175.3175,-144.6872,ankle,
-10.04028,4.79126,-12.69836,-29.83795,171.1266,-143.1879,ankle,
-4.647827,-2.874756,-4.702759,-18.1369,276.4992,-249.6213,ankle,
-8.456421,-8.758545,34.21631,-9.173889,307.0245,-275.9309,ankle,
-8.392334,24.89166,-8.328247,6.794128,224.7873,-204.5581,ankle,
5.673218,-38.0661,21.46301,36.9339,232.7332,-204.2447,ankle,
-8.398438,9.887695,-6.14624,42.75818,-3494.973,-84.12582,ankle,
-19.21692,60.10742,-41.53442,15.90759,26.93009,-25.63736,ankle,
0.2655029,8.857727,-3.771973,11.01105,15.8602,-16.40503,ankle,
-10.73303,27.27051,-15.6311,-9.619446,7.742205,-15.06744,ankle,
-2.734375,5.609131,-3.952026,-14.57245,7.28754,-16.43829,ankle,
4.217529,36.09467,13.49792,-35.58838,-4.28834,-6.831207,ankle,
8.312988,-11.26709,3.173828,-26.203,-8.171635,0.004425049,ankle,
-14.151,108.4991,-27.89917,-89.22913,3163.513,422.8508,ankle,
-11.84387,37.26654,-33.80737,98.78906,-1308.309,1291.742,ankle,
-12.44202,-23.79456,-50.54932,111.4209,-27.55173,10.18005,ankle,
21.83533,-80.40009,25.45471,64.9826,-10.25101,2.266846,ankle,
-9.744263,-13.85498,-28.22571,77.47314,-18.5202,6.974792,ankle,
3.268433,-17.12036,-3.860474,72.78473,-13.87421,3.858337,ankle,
-4.79126,-18.18237,-4.415894,81.71387,-12.86591,1.768188,ankle,
4.299927,-19.54346,2.423096,81.96045,-9.595184,1.073303,ankle,
-12.07581,-35.31799,47.13745,94.64386,8.548737,-8.278809,ankle,
3.936768,-23.12622,2.658081,123.3408,19.38141,2.540588,ankle,
21.90247,12.90588,58.74634,71.67084,2.035675,8.29834,ankle,
1.239014,24.85352,66.25366,-3577.182,-20.33936,-1.805725,ankle,
6.52771,1.669312,-0.08239746,16.95354,-18.3577,-1.514587,ankle,
13.33923,7.199097,16.60767,4.756505,-18.03238,0.3430176,ankle,
1.657104,0.5126953,-8.029175,5.423834,-16.11176,0.2883911,ankle,
17.60559,9.573364,-4.696655,14.85367,-17.22153,0.6237793,ankle,
-2.005005,-1.657104,-2.651978,13.69298,-14.98276,0.6085205,ankle,
15.85693,34.17358,75.68665,26.72677,-11.51932,11.70105,ankle,
-8.935547,-8.309937,28.33557,33.66448,-14.04083,15.58502,ankle,
