hips_JNTa_x,hips_JNTa_y,hips_JNTa_z,hips_JNTw_x,hips_JNTw_y,hips_JNTw_z,
2.584839,2.252197,-8.322144,4.572477,-1.563416,-6.559925,
-14.17847,-22.06421,19.48547,7.564387,-2.492523,-9.979288,
41.29333,52.66113,-57.22656,1.15077,0.4977417,3.50229,
5.912781,8.184814,-8.36792,0.1172638,0.9010315,5.233808,
12.26807,13.59253,-16.90674,-1.073132,2.446747,10.84126,
-0.6408691,-0.2716064,-0.2532959,-1.389837,2.309723,9.333649,
14.89258,15.39917,-33.1604,-3.156977,4.216614,14.49344,
-3.898621,-6.35376,-1.751709,-3.186135,3.765717,11.42503,
-1.445007,23.65723,-9.848022,-5.727448,4.602966,8.729343,
2.703857,21.07239,-18.58215,-8.555894,5.762482,6.977453,
-4.60968,-14.0686,-3.112793,-7.935119,4.867554,4.488916,
-30.97076,-26.88599,35.51025,-5.564127,0.9997559,-6.847591,
-0.479126,-9.057617,24.42322,-4.602742,0.7536316,-6.14933,
-20.41779,12.93335,44.25049,-6.363029,0.2690125,-14.57813,
8.956909,-23.64502,-7.833862,-3.882878,-0.03143311,-9.575686,
-13.3728,-5.767822,-8.380127,-3.333423,-0.5262756,-10.21891,
-23.25897,-9.680176,26.83411,-5.274103,-1.425629,-16.50778,
-9.587097,-22.24731,43.71948,-3.753958,-2.184601,-12.96293,
-18.93158,-28.92456,4.672241,-4.232211,-3.134613,-15.16572,
59.64661,38.99536,-60.39734,-0.6316507,-2.199249,-2.011671,
0.4333496,-5.853271,13.92517,-0.5606031,-2.228851,-2.011814,
7.965088,3.503418,-14.37073,-0.1243198,-2.601013,-1.094954,
-0.932312,-4.278564,-5.001831,0.03988028,-3.129272,-1.059847,
13.50861,16.45508,-4.916382,0.1157904,-1.391754,-0.656333,
0.9078979,-2.34375,0.4882813,0.2227926,-2.160339,-1.07444,
19.57855,27.13013,-27.64893,-0.08161187,1.365356,-1.567408,
11.96289,14.51416,-19.14368,-0.25123,3.534546,-1.862866,
-31.44684,-33.27026,44.75403,0,0,0,
31.77338,32.42188,-23.17505,-0.1181746,4.789429,1.334386,
3.100586,-7.794189,18.30139,0.05987644,5.192261,2.133111,
0.003051758,3.863525,-36.26404,0.9647822,4.626312,5.218565,
-1.220703,-3.961182,-5.496216,1.52081,3.863831,6.078904,
-33.65631,-24.53003,46.63391,0,0,0,
62.06055,37.63428,-94.11011,6.447353,2.760773,17.72267,
-34.1156,-26.24512,75.79346,5.699129,-1.317444,12.29096,
11.94916,-9.954834,-9.042358,8.024397,-1.86264,17.52825,
-32.69348,-16.36963,64.3158,6.890416,-2.952118,9.611783,
-4.560852,-11.48071,13.94043,6.457953,-3.07312,7.420816,
-18.82172,-6.237793,33.02612,6.70321,-2.44278,2.205095,
-1.478577,-6.274414,-7.070923,6.207395,-2.277374,0.4613304,
17.66052,38.92822,-76.85242,0,0,0,
-26.1322,-48.6084,81.10657,6.10477,-2.271118,-4.004402,
-21.7926,-34.76257,46.521,8.52622,-3.055267,-13.9663,
47.9248,83.37097,-127.6276,0,0,0,
-65.08331,-137.265,172.5739,11.76618,-4.055939,-28.2495,
65.08331,137.265,-172.5739,0,0,0,
-4.632568,-12.29858,13.21106,1.237822,-0.1934814,-4.180613,
8.685303,13.23242,-16.60461,-0.1465416,0.2490234,0.8964157,
5.177307,4.656982,-7.113647,-0.7065964,0.6686401,3.281856,
12.82654,12.04834,-18.22815,-2.165728,1.706238,9.385991,
15.47241,36.2915,-58.32214,-5.940342,3.027191,19.36413,
10.95123,10.67505,-34.52759,-7.836871,3.552094,23.98325,
-48.48022,-64.60571,121.5851,0,0,0,
24.15619,53.44849,-78.66516,-6.32091,2.226105,12.13416,
-9.645081,19.65942,-35.98938,-8.921103,2.393188,7.788782,
-13.48114,-50.14038,81.58264,-3.75164,0.8068848,0.4941845,
-1.029968,-22.96753,33.0719,0,0,0,
-7.397461,50.22278,-64.48975,-8.962641,2.57843,-5.528975,
-5.186462,-22.12524,23.01025,-6.799798,2.381439,-8.350229,
-16.0614,-14.23035,15.20691,-5.943789,2.67395,-12.70527,
-15.27863,-14.74304,-27.74353,-11.4388,5.138702,-24.02784,
5.458069,-14.24866,85.43396,-5.875058,2.548523,-14.94685,
-2.928162,-4.721069,27.75269,-4.226408,1.773224,-12.40283,
9.80072,-0.6652832,-12.71362,-1.929179,-0.8010864,-9.200139,
31.59332,20.51086,-46.45691,0,0,0,
-52.28729,-39.19373,61.72791,-1.675417,-2.69165,-13.56364,
32.59735,23.59314,-44.94629,0.05222917,-1.611633,-4.413705,
-5.551147,-4.187012,-5.484009,0.8302498,-2.995453,-4.878225,
-4.02832,-17.95349,24.76807,1.992236,-4.941254,3594.426,
27.67639,31.71387,-35.02197,0.6716454,-0.9135437,-0.1507568,
13.29193,17.41638,-16.86401,-0.01003265,1.009979,-3597.534,
15.72723,12.21313,-5.477905,-0.7885456,2.743073,6.104575,
-27.42615,-23.60229,21.29822,0,0,0,
30.19714,22.48535,-21.68884,-0.7986462,2.943726,6.741237,
21.08154,6.469727,-12.77771,-0.4383886,3.871613,11.44236,
50.32959,22.41211,-70.98083,3.046726,2.388763,20.86158,
-4.971313,-21.77124,-9.466553,4.114641,0.8612061,19.59547,
-69.35272,-22.56165,93.22205,2.145512,-0.2796936,6.116071,
7.795715,0.3662109,37.13379,6.029232,-2.249603,9.426599,
-9.771729,-13.18359,15.55481,5.501039,-1.941986,6.523829,
2.879333,-13.47656,33.67615,7.618058,-2.540131,6.36405,
-19.91119,-4.769897,-9.732056,6.172857,-1.571503,2.678995,
-5.160522,-4.135132,-4.763794,5.625772,-1.262207,1.647358,
-17.70172,-11.87744,15.87219,7.467279,-1.358337,-2.026091,
-18.53943,-47.18323,96.86584,11.57105,-1.787872,-6.781693,
9.162903,8.868408,-42.48352,8.05707,-1.451874,-5.945177,
-3.141785,34.21021,-46.34399,4.289856,-1.501007,-7.547498,
-9.47113,-11.9873,8.447266,5.307693,-2.145386,-10.63332,
7.765198,26.17188,-41.65344,3.259153,-1.751099,-8.451862,
4.681396,4.742432,-8.798218,2.671986,-1.573639,-7.442942,
5.610657,8.966064,-13.15002,1.71875,-1.393433,-6.172152,
0.9506226,0.3112793,-1.004028,1.667509,-1.349335,-5.983291,
24.72839,41.43066,-49.18518,-2.488689,-0.4075623,4.994979,
2.232361,-3.149414,3.219604,-2.27005,0.04852295,4.930062,
18.58215,15.82031,-19.49768,-4.137468,1.891327,10.46616,
-14.82239,-21.41724,25.54016,-1.867228,0.8546448,4.728818,
17.82074,40.54565,-59.42078,-5.643816,2.572937,11.92096,
0.5325317,0.1159668,-13.84277,-5.981135,2.732544,11.74243,
-12.1109,-7.775879,25.27771,-5.603318,1.89682,6.709538,
-0.239563,-5.209351,1.171875,-5.54441,1.794739,6.087914,
-26.10016,29.74243,-61.44409,-10.26585,2.00531,-1.431408,
-1.652527,-24.7467,25.83618,-10.36996,1.782532,-3.571806,
-15.78369,-26.52588,70.97168,-5.761623,0.7395935,-6.240015,
-2.836609,-14.80713,34.24072,-3.758447,0.2622986,-7.719202,
-3.414917,-9.741211,4.498291,-2.915449,0.01083374,-7.508726,
-20.35065,-10.71167,4.84314,-2.822192,-0.2825928,-9.630914,
-10.16998,-13.00964,44.04602,-2.714105,-1.203918,-11.424,
30.03082,9.649658,-9.954834,-1.039271,-0.9553528,-5.550938,
-18.58826,-15.75623,11.74011,-1.483886,-2.265167,-10.6026,
-17.86652,-25.78735,-16.47644,-1.534815,-5.535583,-20.43525,
45.33234,22.71118,-4.885864,-0.563271,-2.30484,-10.96154,
20.10498,26.41602,-32.97119,-0.1265788,-0.6176758,3594.103,
1.765442,2.154541,-2.075195,-0.1047087,-0.1971436,-5.714111,
9.700012,11.32813,-11.21216,0.04028797,2.108612,-6.494751,
-0.9567261,0.5859375,1.483154,0.0667429,1.712036,-3.574829,
13.35602,13.1073,-14.78577,0.2348256,3.702545,-0.8331299,
16.77246,12.02393,-10.61401,0.6194091,5.076294,3.789978,
23.0423,5.19104,15.83252,1.215518,5.276337,-3585.958,
-4.371643,-8.129883,-1.327515,1.291413,4.918976,13.16562,
-22.7005,-11.2854,-15.24963,1.255209,1.137238,11.40718,
17.51556,4.382324,-22.03674,2.070994,1.358185,17.18746,
-33.88519,-15.92102,39.44092,0.896039,0.05249023,4.679403,
40.49683,7.867432,-44.15894,3.020465,0.1683044,15.55557,
-35.61401,-5.722046,68.60352,2.711849,-0.4669189,6.660137,
-0.7247925,-5.905151,10.18677,3.123565,-0.6396484,6.497226,
-12.11548,-37.13379,65.04211,9.83954,-0.3355408,-0.7785559,
-0.6500244,-4.84314,-32.9834,5.611138,-0.07736206,-1.868968,
-1.77002,-8.081055,-2.087402,5.404696,-0.04089355,-2.83567,
-36.94763,-31.01501,83.20923,8.219523,0.2580261,-12.83696,
3.578186,27.62451,-59.44824,4.88379,-0.1347351,-9.546819,
2.561951,4.797363,-14.23645,4.208679,-0.1864624,-8.733888,
-0.6454468,8.184814,1.116943,3.73508,-0.3152466,-8.357501,
0.958252,9.194946,-3.137207,3.083916,-0.3855896,-7.41972,
-26.97754,-20.81299,39.48669,6.866331,-1.992188,-14.70577,
15.55328,33.54492,-50.50659,4.61565,-2.235107,-8.403339,
14.99023,11.93848,-22.36633,2.757826,-1.834106,3597.692,
22.13135,17.08374,-31.63147,-0.09244919,-1.109924,-3593.783,
4.481506,3.33252,-7.409668,-0.7128143,-0.905304,8.374473,
14.69727,11.81946,-24.54224,-2.706957,-0.3990173,15.92198,
-5.796814,-4.211426,6.341553,-2.266455,-0.1733398,11.3516,
2.055359,13.57727,-22.4884,-3.570433,0.1268005,12.91639,
9.921265,30.31616,-46.12732,-7.059507,0.2822876,19.70488,
-11.22742,19.4397,-14.15405,-9.844384,0.4956055,14.54098,
14.26086,-4.647827,-8.294678,-12.46465,0.6266785,17.93529,
-41.62903,-39.47754,67.81311,-6.977611,0.0617981,-1.512299,
0.1785278,-13.65051,12.83264,-5.861177,0.08728027,-2.097301,
-12.92572,-9.899902,33.02612,-4.789176,0.2258301,-6.435919,
11.18469,-10.32104,2.459717,-4.683247,0.2180481,-6.161394,
-15.81573,-9.487915,12.57324,-3.91715,0.541687,-8.905578,
-14.20746,-13.0188,0.04272461,-4.952314,0.7752991,-12.16631,
-7.727051,-10.57434,79.12292,-4.720764,1.321716,-15.71686,
-29.86603,-32.95288,51.24512,-6.564476,2.02774,-23.30944,
51.66931,37.46338,-110.2203,-1.911573,-0.008392334,-6.910141,
1.28479,3.259277,-18.36853,-1.505884,-0.5311584,-5.685835,
