hips_JNTa_x,hips_JNTa_y,hips_JNTa_z,hips_JNTw_x,hips_JNTw_y,hips_JNTw_z,
5.01709,1.373291,10.18677,7.413769,5.445099,5.063775,
-11.51733,1.004028,-4.6875,5.521145,4.074554,3.784266,
0.1083374,-0.6286621,7.006836,5.113716,3.830261,3.633695,
-20.17822,6.741333,-12.04529,6.381092,5.78537,2.89072,
-21.50269,3.045654,10.27527,11.00634,10.52063,4.800794,
10.86121,-15.06042,-22.88513,3.426037,3.580322,-0.9992981,
3.463745,-3.271484,-3.570557,2.052727,2.272491,-1.817107,
-10.42633,-6.347656,0.2990723,2.273788,2.13089,-4.694211,
8.653259,-0.2502441,-2.813721,1.246433,0.9107971,-4.384599,
-11.62415,-14.7522,-1.330566,0.3794479,0.8270264,-8.285227,
9.05304,-2.038574,-2.828979,-0.8012199,0.2487183,-7.558765,
-8.927917,-32.1167,-17.56287,-2.654171,-0.8886719,3587.974,
1.046753,-43.62793,-8.517456,-4.644203,-1.969757,-17.05902,
18.19,2.380371,13.82141,-4.576893,-1.713104,-15.64026,
12.0575,41.27808,4.312134,-4.130058,-0.9223938,-10.42175,
3.042603,13.76343,2.79541,-3.369675,-0.6663513,-8.50708,
1.689148,14.04419,-11.85913,-3.946056,-0.1795959,-11.31104,
-0.6729126,21.13647,2.026367,-2.504063,0.1626587,-6.783752,
0.03356934,27.00195,-5.24292,-2.437592,0.7966614,-5.615234,
8.569336,5.895996,9.246826,-3.830509,1.933136,-9.721985,
14.69879,-14.70947,24.08447,-2.752552,2.696228,-8.773193,
11.46851,-7.580566,-4.122925,-3.284721,3.403625,-11.83105,
-18.09692,-27.8656,-42.1936,-0.9774017,1.017609,-6.354675,
0.4470825,-2.46582,0.1068115,-0.9467125,1.037598,-6.444397,
5.865479,-28.99475,14.30969,-0.09962082,0.4272461,-7.86377,
9.126282,-19.20776,15.48157,0.1268768,0.3517151,-9.543762,
-18.21747,33.83179,16.53137,0.5353355,-0.2787781,-4.819946,
9.346008,-25.06409,18.66455,0.9845924,-0.5627441,-7.650146,
-12.04987,29.12598,12.5,4.172325,-1.103668,-4.87915,
-7.63092,16.51001,3.997803,6.095562,-1.420135,-3.068542,
-4.788208,23.85559,-48.04993,0,0,0,
-6.246948,7.339478,18.80493,4.20454,-0.4554749,1.2854,
-2.349854,5.319214,-4.098511,4.052086,-0.3233337,1.998901,
-2.384949,-0.5004883,-2.761841,3.311691,-0.5039978,1.046753,
-0.1449585,0.4394531,-2.078247,3.173981,-0.7571411,0.5429077,
11.12671,-12.59766,-9.866333,0,0,0,
-23.27118,31.65283,10.65979,6.054935,-2.875366,0.2481079,
10.34851,-7.263184,-5.020142,3.630276,-1.800232,2.764282,
-5.39093,10.45837,3.973389,5.081005,-2.505493,3.817139,
1.94397,-9.387207,5.651855,4.253101,-0.2812195,9.72168,
0.7614136,-2.706909,0.491333,3.902073,0.2947998,11.09161,
-5.029297,1.89209,0.9490967,2.80901,1.246338,15.67993,
0.2197266,0.8728027,-2.435303,2.359104,0.9294128,14.71436,
20.41779,-25.5188,-14.27002,0,0,0,
-24.46899,32.48901,11.5448,1.676617,0.2416992,14.85352,
-15.50293,44.73267,-9.317017,0.5896568,-2.090759,17.21893,
39.97192,-77.22168,-2.227783,0,0,0,
-55.97534,156.2805,-8.953857,-3.253021,-6.167603,22.84943,
55.97534,-156.2805,8.953857,0,0,0,
-6.355286,60.54688,-15.08484,-5.900517,-1.695251,9.762268,
7.362366,-37.07275,3.726196,-3.739548,-0.05340576,5.997925,
1.478577,3.668213,-6.265259,-5.422115,0.3129578,8.610229,
2.197266,1.821899,-13.64746,-8.554821,1.293488,13.33405,
5.351257,9.53064,-36.59363,-16.60477,0.5204773,-3583.417,
6.387329,-7.650757,-17.32788,-20.23479,-0.320282,16.58419,
-16.42151,-30.84412,85.19287,0,0,0,
10.57281,12.90894,-80.03235,-14.49484,-1.490936,5.112877,
6.855774,-6.115723,4.940796,-17.96223,-2.687988,1.020236,
-11.36169,-6.253052,42.47131,-6.819096,-1.061859,-0.1153207,
-6.066895,-0.5401611,32.62024,0,0,0,
18.59131,0.2166748,-74.30725,-14.29554,-1.422882,1.226635,
-1.88446,-1.431274,24.66431,-9.392757,-0.6272888,1.587212,
2.384949,0.7415771,21.08765,-6.140432,-0.5461121,1.629744,
15.02075,-3.961182,-22.76001,-11.78732,-1.017914,3.148313,
-14.65607,1.223755,27.14233,-5.097933,-1.260223,-0.7050037,
-5.000305,0.5737305,8.291626,-3.08507,-1.361694,-1.92976,
-7.748413,0.769043,2.075195,-1.423712,-1.206818,-3.536131,
-6.707764,1.867676,13.80615,0,0,0,
0.1205444,-2.340698,-18.56995,-1.509886,-2.171326,-6.325541,
-4.631042,1.766968,13.33923,-0.1926041,-0.9075928,-2.586801,
-19.68079,2.365112,7.992554,0.1267624,-0.954895,-3.353014,
-27.742,2.334595,11.17859,0.5896473,-1.019135,-4.438896,
17.83905,-2.017212,-4.782104,0.5023098,-0.4702759,-1.948022,
8.686829,-0.7873535,-2.328491,0.4576302,-0.2062988,-0.7491541,
3.869629,0.5767822,22.80273,0.05839348,-0.07553101,-0.6809056,
21.53778,-1.898193,-29.63257,0,0,0,
-20.08667,-0.7629395,30.42908,-0.07652283,-0.01586914,-0.7079661,
0.7019043,-1.507568,-15.38086,-0.7824612,0.3694153,-1.529832,
-5.741882,-1.589966,-14.6759,-2.62907,0.5966187,-3.848143,
4.690552,0.3234863,-7.723999,-2.796135,0.5383301,-3.844999,
14.90173,2.359009,3.643799,-1.146145,0.2531433,-1.010474,
-0.2502441,-0.491333,-6.80542,-2.668552,0.6704712,-0.9562701,
3.123474,0.5340576,2.783203,-2.08087,0.5314636,0.3081024,
2.374268,0.03967285,-0.6164551,-2.431335,0.6309509,1.933026,
2.659607,0.680542,2.276611,-1.811705,0.2462769,2.758267,
0.7568359,0.09765625,0.7629395,-1.603336,0.131073,2.927661,
7.115173,1.708984,-5.963135,-1.324835,-0.4020691,2.968758,
11.2854,1.089478,-9.786987,-1.348267,-1.144409,3.775017,
-3.198242,-1.379395,2.713013,-0.6206799,-0.9126282,1.745644,
1.046753,-0.1068115,-3.134155,0.7201958,-0.8258057,-1.825666,
9.854126,-1.098633,3.033447,1.582489,-1.113281,-3.026781,
-2.89917,0.6622314,18.65234,1.999617,-0.8180237,-2.984467,
-0.743103,-0.302124,0.994873,2.120352,-0.7192993,-2.351985,
1.707458,-0.1525879,2.520752,2.661762,-0.5909729,-1.265419,
-0.8880615,-0.2838135,-0.1647949,2.585287,-0.5755615,-1.206741,
47.81189,-2.645874,38.35144,10.4458,2.078705,9.347711,
-28.85132,-0.09155273,-7.830811,7.501783,1.717834,6.988088,
-40.83099,3.137207,3.741455,5.073195,2.290039,5.192304,
-3.251648,-0.4943848,-20.10498,2.289734,1.038971,2.363708,
-16.05682,1.049805,20.39795,5.594645,3.229065,3.481302,
-8.4198,-2.297974,-2.041626,5.426388,3.466034,2.333684,
-8.72345,-3.594971,-12.02393,4.19775,3.822327,-0.8499265,
0.09155273,-4.928589,0.3723145,4.038429,3.854523,-1.217494,
-25.23956,-33.20007,19.40918,6.098919,8.991394,-2.379177,
15.44647,-25.0061,11.25793,5.963402,9.436493,-2.33659,
30.05371,25.55237,-11.78589,3.163948,6.513519,-0.6431794,
3.536987,16.00952,-32.57446,1.934814,5.340576,0.1188517,
2.27356,5.24292,-2.545166,1.56353,4.502563,-1.386602,
-0.009155273,-0.03051758,-1.068115,1.614056,4.926453,-3.602462,
-0.7019043,-3.540039,2.780151,2.202053,4.962769,-8.875031,
3.414917,13.04626,-4.754639,1.189632,2.026215,-6.288579,
-0.6744385,-13.31787,9.329224,2.331982,2.794495,3584.564,
3.573608,-34.50317,20.77026,4.645443,2.476654,-38.87451,
4.011536,22.82715,-17.31262,2.548561,0.9811401,-18.49426,
0.7675171,16.34216,-6.500244,1.404819,0.2003479,-7.702942,
1.139832,-1.605225,0.07629395,1.277199,0.2978516,-6.840515,
6.872559,-12.18872,7.791138,0.9151077,0.9590149,-4.179077,
-4.125977,10.2478,-7.470703,0.5174065,0.7673645,-2.267761,
2.767944,-8.48999,2.075195,0.125618,1.618347,-0.3601074,
5.513,-20.45898,5.679321,-0.3738213,2.084351,-1.230164,
4.525757,-18.07251,2.627563,-1.518021,1.893311,-2.824707,
-0.2685547,2.233887,-3.979492,-1.379471,1.766815,-2.675171,
-10.86273,31.28662,-7.980347,-1.130981,0.411377,-3.545837,
5.461121,-16.94946,3.656006,-1.655731,0.4333496,-5.568542,
-12.00714,41.56494,-10.27832,-0.4027557,-0.166626,-1.872864,
9.246826,-30.18188,7.754517,-1.317863,-0.546875,-6.205444,
-10.92834,25.46387,-8.950806,-1.02335,-0.809021,-3.444824,
-1.107788,0.8544922,-0.9063721,-1.143551,-0.97229,-3.596802,
-37.68768,38.96484,-18.75916,-3.022919,-0.6495667,4.20105,
13.24615,-3.686523,5.291748,-1.681061,-0.1948547,3.539734,
-2.575684,4.553223,-1.574707,-1.674633,0.001525879,4.86145,
-37.55798,51.41907,-21.91772,-2.967949,1.402893,18.25104,
25.09003,-21.0144,13.797,-1.217022,0.6474304,12.56348,
7.08313,-4.794312,1.626587,-0.8887291,0.5064392,11.30432,
6.96106,-4.214478,0.6408691,-0.3281212,-0.1403809,9.368896,
6.755066,-7.128906,2.017212,0.1329422,-0.607605,7.163391,
-11.60278,55.51147,-33.35571,2.140827,-4.687958,13.99963,
18.77136,-26.54114,6.585693,2.932301,-5.816498,7.721252,
