label,Average_energy,Acceleration_mean(3-axis)_x,Acceleration_mean(3-axis)_y,Acceleration_mean(3-axis)_z,Acceleration_std(3-axis)_x,Acceleration_std(3-axis)_y,Acceleration_std(3-axis)_z,Acceleration_max(3-axis)_x,Acceleration_max(3-axis)_y,Acceleration_max(3-axis)_z,Acceleration_min(3-axis)_x,Acceleration_min(3-axis)_y,Acceleration_min(3-axis)_z,Acceleration_pv(3-axis)_x,Acceleration_pv(3-axis)_y,Acceleration_pv(3-axis)_z,Synthetic_acceleration_mean,Synthetic_acceleration_std,
walk,60.9608,-0.5875596,-0.009269714,0.3151321,29.76021,24.32738,31.28362,132.1365,78.88184,95.76416,-81.65131,-72.30835,-64.17236,213.7878,151.1902,159.9365,40.37536,28.74773,
walk,71.23103,0.2975841,-1.442261,1.567954,34.67025,25.37763,41.93289,132.1365,78.88184,133.3984,-83.33282,-72.30835,-145.2118,215.4693,151.1902,278.6102,47.48855,36.79514,
walk,74.67332,-0.8109291,-0.7203294,2.009468,35.41247,26.95768,42.28523,132.1365,78.88184,133.3984,-83.33282,-72.18628,-145.2118,215.4693,151.0681,278.6102,49.21961,36.762,
walk,70.34561,0.05351968,-0.04871356,0.1167289,32.47071,25.90272,42.90323,132.1365,78.88184,133.3984,-83.33282,-72.18628,-145.2118,215.4693,151.0681,278.6102,46.38255,37.61201,
walk,68.82653,0.7236102,0.5516814,-1.159097,28.1856,23.1679,46.0283,86.36627,63.26294,133.3984,-83.33282,-72.18628,-145.2118,169.6991,135.4492,278.6102,44.38934,38.4908,
walk,54.49437,0.04688253,0.09754182,-0.1845551,20.92694,19.66668,36.65746,51.66779,56.13708,120.2026,-69.3985,-69.72961,-88.8031,121.0663,125.8667,209.0057,35.0655,30.64215,
walk,45.29262,0.04484163,0.1428222,-0.8164221,17.59698,14.97366,34.36051,51.66779,45.81909,120.2026,-60.67047,-57.58057,-88.8031,112.3383,103.3997,209.0057,30.05564,28.49308,
walk,42.86538,-0.1293948,-0.06774922,0.1370239,15.55565,15.35473,31.99495,51.66779,45.81909,120.2026,-60.67047,-57.58057,-88.8031,112.3383,103.3997,209.0057,28.57457,26.17169,
walk,27.49389,-0.725155,-0.6277084,1.47171,8.355208,10.0563,22.30457,26.52435,38.98315,79.90112,-27.13318,-31.56128,-67.55676,53.65753,70.54443,147.4579,19.252,17.34585,
walk,23.82119,-0.04688253,-0.09754167,0.1845549,6.365949,7.776342,21.5886,22.7356,23.82202,70.63904,-22.87903,-18.69507,-94.59229,45.61463,42.51709,165.2313,17.05295,16.6225,
walk,25.54217,0.2813532,0.2120974,-0.4966733,7.706306,6.984321,23.50296,22.7356,23.82202,70.63904,-22.87903,-17.70935,-94.59229,45.61463,41.53137,165.2313,18.49712,17.85454,
walk,34.29852,0.05428324,0.2719881,-0.8394619,8.030993,12.11276,34.58904,22.7356,41.95862,121.228,-22.87903,-38.77563,-129.8248,45.61463,80.73425,251.0528,25.02297,27.96874,
walk,35.77086,-0.04400252,0.1781846,-0.00682795,8.304188,14.09774,34.63099,22.7356,52.67639,121.228,-22.87903,-43.2251,-129.8248,45.61463,95.90149,251.0528,26.11106,28.02245,
