r_shoulder_JNTa_x,r_shoulder_JNTa_y,r_shoulder_JNTa_z,r_shoulder_JNTw_x,r_shoulder_JNTw_y,r_shoulder_JNTw_z,
-2.572632,6.103516,16.50391,7.317562,-2.812347,-0.7635498,
-3.448486,8.068848,18.09998,4.775505,-1.711884,-0.2597284,
0.8422852,-2.838135,4.681396,5.558357,-2.011414,-0.3151274,
-44.29321,-7.37915,-52.88086,10.34666,-5.356293,-1.43837,
-12.96387,-10.47974,-7.028198,11.13546,-6.163788,-1.864295,
11.60278,17.96875,60.3302,3.185501,-2.576141,-1.15849,
-2.545166,-3.704834,2.609253,3.080139,-2.554779,-1.220837,
48.6084,19.33594,20.40405,0,0,0,
-57.61108,-21.30737,-12.39929,2.055149,-1.89209,-1.221828,
2.972412,-1.629639,8.868408,1.12154,-1.781769,-1.285372,
-31.17981,-17.55371,23.63892,-1.305828,-2.759552,-2.458677,
-0.8453369,-44.36035,6.796265,-5.190639,-1.231232,-0.6087112,
38.37585,10.72388,5.230713,-4.016685,-0.7650757,-0.294795,
23.39478,18.82324,3.359985,-3.797283,-0.5844116,0.2902937,
12.22839,9.661865,6.686401,-4.456196,-0.5465698,0.9525394,
2.310181,21.63086,-12.91504,-3.423595,-0.7559204,0.5749559,
-1.300049,8.917236,-6.585693,-3.141365,-0.9622192,0.4175806,
-9.851074,30.896,-9.576416,-3.08012,-1.772308,-1.174788,
21.50574,-15.802,-13.10425,0,0,0,
-25.6958,30.62134,17.57202,-2.975559,-2.078552,-1.850977,
-38.3606,-11.46545,45.4071,-3.517723,-5.491638,-8.684499,
-25.45471,-21.50269,13.51013,-4.715691,-8.073425,-13.35565,
58.92639,-37.03918,-95.38879,-1.440926,-2.846069,-4.743059,
14.96277,3.955078,7.681274,-0.6274605,-1.608124,-2.610087,
8.911133,-26.94092,5.978394,0.002403259,-1.33255,-1.94283,
2.23999,-18.69507,13.1958,0.169487,-1.511078,-2.199748,
7.672119,2.627563,14.07471,0.9867096,-0.4481506,-0.586195,
-3.201294,78.43933,-22.03064,0,0,0,
3.250122,-72.98889,18.39905,2.792854,-0.09841919,-0.1626301,
-2.1698,31.31409,-33.37708,5.529289,0.7003784,0.8673227,
0.1983643,15.05127,-5.06897,4.971294,0.6286621,0.9421659,
-0.8209229,25.1709,-10.3241,4.107018,0.499115,0.9747815,
-0.4577637,1.452637,30.37109,0,0,0,
5.206299,0.2685547,-40.82336,5.379887,1.130066,2.65775,
-0.9552002,1.049805,15.47852,3.157272,0.975647,2.132598,
-1.724243,1.416016,1.672363,2.558613,1.261139,2.144858,
0.8422852,6.280518,-16.37268,4.179935,2.212982,2.845143,
-1.51062,3.009033,5.06897,3.587418,2.03125,1.804173,
-1.858521,-12.02393,34.9762,0,0,0,
14.69116,29.93774,-84.14917,9.525433,4.549255,3.997102,
8.251953,-11.34644,47.57385,4.484634,1.938324,2.138879,
-10.53772,-9.521484,24.89929,1.418591,0.7885742,1.078756,
3.604126,1.873779,-3.244019,1.795921,1.014404,1.370001,
11.32202,17.78564,-1.348877,1.637268,2.492523,3.295257,
12.40845,57.73926,-4.190063,0.827961,5.787506,6.147304,
-39.73999,-86.46851,20.45898,0,0,0,
26.16272,98.90747,-5.514526,-1.113358,5.741882,5.049996,
-9.741211,-36.92627,16.88538,-2.191296,2.954712,2.168798,
-0.5340576,-3.173828,10.32104,-3.097458,2.332458,1.36261,
18.55469,1.44043,8.505249,-4.825249,1.595154,1.477709,
8.886719,-1.339722,3.90625,-5.524025,1.27182,1.506095,
19.0155,2.526855,6.906128,-7.413254,0.7189941,2.197971,
-62.34436,-61.43494,-41.00952,0,0,0,
130.188,117.1234,95.24841,-17.46483,1.11908,4.687743,
-0.02746582,-12.30164,14.55688,-19.81731,0.9492493,4.651747,
-32.00073,-19.37561,-4.034424,-20.53564,0.4710388,2.611961,
-59.42078,-47.85461,-31.98547,-11.12061,0.1101685,0.4247713,
-38.73901,-37.59155,-73.7854,0,0,0,
28.50952,32.56226,65.49377,-10.92134,-0.02868652,-0.3006792,
-4.153442,-9.240723,-12.25891,-9.028301,-0.1930237,-0.4898787,
1.983643,-1.434326,-4.724121,-8.931103,-0.705719,-1.136107,
3.030396,-0.8789063,11.06873,-9.963303,-0.725708,-2.206383,
2.386475,-1.696777,17.099,-11.25372,-0.7148743,-3.845625,
-31.75659,-19.31152,-76.67847,0,0,0,
13.69019,11.58447,70.28809,-9.893684,-0.05569458,-4.908786,
-19.43359,-9.561157,-51.67847,-2.682619,0.3408813,-2.216134,
-2.090454,-1.501465,-14.29749,-1.014452,0.2772522,-1.059332,
-14.45007,0.3631592,1.599121,-1.818409,0.9283447,-1.635752,
22.28394,-0.8850098,-5.911255,0,0,0,
-15.19775,0.2502441,-1.217651,-0.4630661,0.7714844,-0.08974552,
-19.99207,3.399658,6.70166,0.109129,0.6317139,1.247506,
-7.263184,-0.189209,1.983643,0.2773285,0.6143188,1.675153,
12.10938,-2.313232,-4.315186,0.4252911,0.2363586,0.1578903,
4.177856,-0.7141113,-0.9887695,0.4210377,0.1567078,-0.1047659,
26.16577,-0.4333496,-2.163696,0,0,0,
-43.93005,1.190186,47.90039,0.2357101,-0.01464844,-1.29529,
20.77026,-2.111816,-25.46997,-0.331459,-0.2941895,-0.7945442,
-11.20911,-0.5249023,8.145142,-1.311684,-0.7765198,-1.041861,
34.3689,1.446533,-30.57556,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
-37.79297,6.652832,66.27808,-8.562088,-2.353973,1.993246,
42.86499,-4.797363,-53.76892,-1.800299,-0.4629517,0.1929426,
3.320313,0.2197266,2.044678,-2.066183,-0.5091858,0.1234913,
-8.392334,-2.075195,-14.55383,0,0,0,
24.95728,3.338623,20.71533,-3.01734,-0.2601624,0.1823807,
0.009155273,-0.3356934,-16.50696,-1.551666,0.2868652,0.5187893,
47.38159,2.926636,-15.55786,-2.493038,1.576538,2.050943,
-72.34802,-5.929565,11.34949,0,0,0,
27.26135,1.11084,-30.92957,0.4144669,0.7452393,0.9872246,
-4.046631,-2.130127,0.604248,0.5666447,0.6697083,0.8890724,
-4.003906,-0.869751,8.19397,2.109241,0.76828,0.1267099,
-0.01525879,-0.8972168,-1.61438,2.331085,0.7800293,-0.02647877,
-5.014038,-1.382446,-1.733398,2.890224,0.6686401,-0.8652735,
5.355835,-3.237915,-9.21936,4.349136,0.493927,-1.470447,
-19.53735,7.406616,34.69849,0,0,0,
51.48315,-31.29883,-94.8822,14.39332,-0.7969666,-5.804296,
-51.77002,18.24951,66.97693,6.277008,-1.082001,-1.816907,
