r_upleg_JNTa_x,r_upleg_JNTa_y,r_upleg_JNTa_z,r_upleg_JNTw_x,r_upleg_JNTw_y,r_upleg_JNTw_z,
-27.14539,-8.576965,15.43884,-16.75436,-20.93384,-11.19944,
-0.1937866,6.672668,-8.7677,-25.5636,-19.42398,-11.69781,
11.33041,5.467224,-11.53259,-39.33521,-27.49619,-14.54428,
-23.66333,16.84418,-2.578735,-58.43508,-29.32236,-14.7032,
-3.292847,17.81616,-39.68811,3481.465,-54.05624,-16.1443,
-28.19138,-9.912109,57.5531,-62.4173,-22.87674,4.473634,
-0.9536743,-14.46075,31.6864,-60.31647,-23.24829,8.8274,
24.46365,-30.22766,-12.73499,0,0,0,
-93.61343,62.52747,47.78442,-116.0266,-5.880127,5.343413,
-5.879974,-69.83337,46.81702,-148.6462,3.222351,5.999155,
25.42572,-28.71094,-46.54846,-104.4354,7.440643,-7.090721,
-14.73923,-27.82135,-27.03247,-147.1542,7.957458,-14.25123,
12.20779,-14.25629,-44.99207,-122.5241,20.78232,-34.11007,
13.9122,-8.950806,-39.90784,-99.3512,967.675,2614.016,
61.31592,61.06262,30.33447,27.45056,471.7902,-476.7799,
0.9010315,11.05804,14.42566,16.99066,49.29535,-52.23877,
39.88495,-38.5025,-10.58044,34.48883,-37.64038,35.12405,
-26.85089,37.33368,21.54846,9.467468,-8.345642,7.786865,
-12.56409,16.09344,8.151245,0,0,0,
60.88181,-57.41272,-10.20813,20.30243,-34.16687,36.86249,
-48.25897,111.6104,59.31702,-35.69489,-72.27722,76.30432,
-9.216309,-10.90088,-20.3064,-24.50043,-142.6611,144.3636,
-3.406525,-43.29681,-28.80249,0,0,0,
-14.88647,162.442,36.84082,35.90088,-947.0094,947.2984,
36.39984,2.868652,-67.74292,150.0156,-172.7281,175.8105,
10.53772,-63.62457,-33.18176,124.8642,-38.37646,37.68829,
13.90686,-57.4646,8.737183,95.06683,-21.07849,20.76111,
-3.617859,-18.97583,-17.453,94.8996,-15.35339,9.521179,
-42.34009,-25.24567,72.79968,0,0,0,
190.9599,-137.9944,-165.5182,231.7484,7.792969,-3582.662,
-100.5577,-15.5365,112.8662,-3469.921,27.63489,12.68847,
-90.40222,153.5309,52.65198,0,0,0,
16.9426,-81.26831,13.40027,75.25915,30.78049,13.11014,
-19.50455,34.13391,21.80176,46.11309,17.37991,9.383764,
-0.4737854,35.36987,-20.67871,11.40227,2.941589,1.323118,
-31.92444,-21.13037,30.2887,45.90368,3.13385,-2.331429,
-37.55798,1.321411,43.87817,60.77408,-23.00751,-19.99223,
27.56882,19.46716,-38.8855,29.5834,-19.68964,-16.80573,
44.94934,12.10632,-49.80469,0,0,0,
-83.79364,-19.7052,106.4423,47.36221,-18.66043,3580.677,
63.15842,13.31024,-72.23511,12.22889,12.53021,7.639771,
15.23438,4.35791,-24.49646,3.426056,5.53009,3.669739,
-9.635925,-3.520203,17.55981,9.511032,15.92041,-3589.158,
5.667114,-0.9857178,-4.519653,7.415466,28.79272,20.57561,
6.222534,4.437256,-12.99133,1.587639,15.09415,10.98897,
20.47195,21.90704,-26.87073,-32.22446,24.39667,16.35031,
-3.793335,-6.008911,3.00293,-22.59521,4.320221,1.167641,
3.276062,0.3372192,-2.746582,-23.45367,-6.880341,-6.76827,
