label,Average_energy,Acceleration_mean(3-axis)_x,Acceleration_mean(3-axis)_y,Acceleration_mean(3-axis)_z,Acceleration_std(3-axis)_x,Acceleration_std(3-axis)_y,Acceleration_std(3-axis)_z,Acceleration_max(3-axis)_x,Acceleration_max(3-axis)_y,Acceleration_max(3-axis)_z,Acceleration_min(3-axis)_x,Acceleration_min(3-axis)_y,Acceleration_min(3-axis)_z,Acceleration_pv(3-axis)_x,Acceleration_pv(3-axis)_y,Acceleration_pv(3-axis)_z,Synthetic_acceleration_mean,Synthetic_acceleration_std,
sidecrunch,72.88335,0.3311915,0.2538494,-0.8275225,61.58342,12.14449,48.6838,173.8647,36.28235,296.965,-266.4917,-28.97949,-188.0753,440.3564,65.26184,485.0403,50.07455,61.67266,
sidecrunch,118.2039,-1.195679,-0.1274114,1.140596,123.8993,22.80262,57.2805,329.8157,107.2845,296.965,-552.8992,-66.59241,-188.0753,882.7148,173.8769,485.0403,84.48072,109.6257,
sidecrunch,121.4771,0.6665037,-0.0007633209,0.02939379,124.9675,22.74862,56.7438,329.8157,107.2845,296.965,-552.8992,-66.59241,-188.0753,882.7148,173.8769,485.0403,87.38329,108.2536,
sidecrunch,130.4265,-0.7267004,0.2669901,1.517163,132.2549,23.67818,57.21734,329.8157,107.2845,296.965,-552.8992,-66.59241,-188.0753,882.7148,173.8769,485.0403,94.81566,111.0799,
sidecrunch,134.799,0.5673205,0.08188166,0.05558157,131.8972,25.28205,47.85926,329.8157,107.2845,163.3926,-552.8992,-66.59241,-145.5505,882.7148,173.8769,308.9431,96.67402,104.7904,
sidecrunch,100.2861,-0.93178,-0.3440477,-0.03097622,86.22881,18.57152,35.60791,185.7483,48.27881,163.3926,-313.9832,-56.79016,-81.68335,499.7315,105.069,245.0759,70.94504,63.37209,
sidecrunch,104.0993,-2.166063,-0.5983351,1.465701,87.89079,18.23917,38.47171,185.7483,48.27881,163.3926,-313.9832,-56.79016,-81.68335,499.7315,105.069,245.0759,73.15282,64.75642,
sidecrunch,93.09265,2.465667,0.3647042,-3.256951,71.15928,16.20822,42.40955,185.7483,48.27881,163.3926,-219.8608,-45.33997,-81.68335,405.6091,93.61877,245.0759,63.29988,55.98988,
sidecrunch,90.73088,1.737212,-0.215988,0.7618149,69.2565,15.07524,39.86429,185.7483,48.27881,119.5297,-203.4607,-45.33997,-76.80817,389.209,93.61877,196.3379,63.42742,50.92636,
sidecrunch,73.16234,-1.347198,-0.1074216,-0.1905054,54.61204,11.74984,37.72632,126.6968,44.11011,119.5297,-203.4607,-27.43835,-76.80817,330.1575,71.54846,196.3379,51.09304,43.9906,
sidecrunch,83.72604,2.166061,0.5983351,-1.465701,75.86715,14.70304,41.81302,285.3394,44.7113,152.2324,-385.3699,-56.89087,-119.7739,670.7093,101.6022,272.0063,58.53917,65.57969,
