hips_JNTa_x,hips_JNTa_y,hips_JNTa_z,hips_JNTw_x,hips_JNTw_y,hips_JNTw_z,label,
43.94531,14.19373,-53.95813,-1.783686,-2.932587,-2.245483,sidetoside,
-3.961182,-29.37164,-7.409668,-1.707807,-1.704102,0.3817749,sidetoside,
-52.02026,-49.59412,-25.32654,-1.28036,-0.1263428,2.965393,sidetoside,
-9.832764,-4.634094,-3.4729,-1.197352,-0.05264282,2.9776,sidetoside,
99.33472,7.893372,48.01331,-1.721129,1.867371,10.1358,sidetoside,
-66.65039,-18.87207,-15.95154,-1.750126,2.176971,9.579468,sidetoside,
32.07397,-5.462646,44.02161,-3.229971,4.388123,15.92651,sidetoside,
67.44385,-0.5889893,49.30115,-4.777408,5.935059,21.91864,sidetoside,
-249.585,-20.34454,-124.646,-2.709675,2.489624,-3590.316,sidetoside,
19.7876,3.330994,34.75342,-4.271331,3.594971,15.30942,sidetoside,
-62.42676,0.2380371,-38.47046,-2.856956,1.450195,11.37991,sidetoside,
1.251221,4.673767,26.0498,-4.098742,2.009583,16.50633,sidetoside,
-28.38745,5.044556,-22.24426,-2.738152,1.374207,13.30555,sidetoside,
2.148438,-1.605225,-4.925537,-2.522643,1.236725,12.38392,sidetoside,
-16.13159,14.6759,17.94739,-2.563133,0.7225037,10.62246,sidetoside,
-26.96533,22.20917,60.79712,-4.125333,0.8932495,16.69911,sidetoside,
52.10571,-29.1626,-89.68201,-1.060946,-0.8065796,-0.4364586,sidetoside,
7.678223,-6.764221,-15.69519,-0.5356503,-1.010132,-2.937546,sidetoside,
-6.030273,-14.10217,20.00427,-0.4252338,-2.49527,-5.797138,sidetoside,
-0.6530762,-12.87231,-13.42468,-0.123353,-2.299042,-4.889622,sidetoside,
-29.23584,-21.86584,40.49988,0.3092504,-4.938965,-5.990486,sidetoside,
-8.929443,-5.865479,-4.177856,0.5902123,-4.858093,-3.608379,sidetoside,
-105.542,-5.232239,74.11804,1.858349,-10.28992,0.8491707,sidetoside,
-108.9172,-15.68909,77.0874,3.161244,-16.1261,5.024185,sidetoside,
10.2478,-6.228638,-16.97998,2.996571,-15.36392,5.265093,sidetoside,
30.67017,-2.328491,-60.64453,2.555289,-12.79556,6.889915,sidetoside,
40.36865,12.64801,-31.05774,2.05488,-10.56152,5.455046,sidetoside,
-50.70801,6.066895,5.847168,2.283585,-14.32953,5.62912,sidetoside,
103.833,22.42126,-63.02185,1.071758,-8.344421,2.610054,sidetoside,
52.10571,15.82642,-43.28613,0.1751184,-6.431427,0.2552414,sidetoside,
30.56641,3.153992,-43.72864,-1.28922,-8.412323,-1.454544,sidetoside,
152.8259,17.63763,-97.3114,-3.885965,-3.034058,-4.608593,sidetoside,
52.66113,7.820129,-46.58203,-5.393195,-3.126221,-5.939016,sidetoside,
-32.03735,4.255676,66.15601,-3.324838,0.847168,-2.483759,sidetoside,
2.410889,-0.8255005,-2.011108,-3.377628,0.9286499,-2.515106,sidetoside,
10.90698,6.09436,-5.935669,-3.994279,3.423157,-3.229351,sidetoside,
28.08838,0.9140015,-21.21887,-4.818877,4.69223,-3.974113,sidetoside,
-98.77319,-18.94226,73.54431,-2.223343,3.018646,-2.855415,sidetoside,
38.87329,4.516602,-32.28149,-3.467066,4.993896,-4.765959,sidetoside,
-14.08691,0.4013062,18.50891,-3.504618,8.873596,-7.543645,sidetoside,
-12.29248,-10.02808,16.00342,-3.513669,11.21521,-9.24376,sidetoside,
-85.08911,-6.190491,56.5094,0,0,0,sidetoside,
7.550049,-6.939697,32.29675,-1.339004,4.474335,-1.976733,sidetoside,
-14.42871,-5.648804,19.31763,-1.128831,3.414764,-0.88346,sidetoside,
-7.635498,-8.973694,39.5874,3598.005,1.305542,-0.4089785,sidetoside,
-2.758789,-4.515076,2.966309,-2.389526,1.130066,-1.342788,sidetoside,
17.27295,26.07727,-94.16809,0,0,0,sidetoside,
-41.09497,-52.78931,186.6577,-7.041626,2.199707,-10.71948,sidetoside,
21.92383,34.92889,-116.687,-4.491272,2.186279,-12.37667,sidetoside,
13.03101,-28.5202,23.24829,-6.19751,3.133087,-17.31698,sidetoside,
14.84375,23.76709,-88.71155,-2.345581,2.993317,-12.92544,sidetoside,
0.6835938,7.281494,-24.10583,-1.287537,2.71637,3588.574,sidetoside,
7.550049,60.12726,-41.61682,1.188049,0.5601501,-7.526245,sidetoside,
-0.9277344,19.60602,-7.650757,1.712952,-0.5018616,-5.954285,sidetoside,
-16.00952,-64.40125,68.86597,0,0,0,sidetoside,
17.46216,130.4947,-94.93103,3.319397,-3.1604,-3.112793,sidetoside,
15.50293,96.38519,-119.6472,6.609802,-5.185547,-3.866577,sidetoside,
-32.96509,-226.8799,214.5782,0,0,0,sidetoside,
70.52612,372.525,-479.6295,11.8219,-4.975891,-7.683411,sidetoside,
-70.52612,-372.525,479.6295,0,0,0,sidetoside,
33.86841,41.71143,-247.9675,-3595.946,4.335175,-4.723816,sidetoside,
-18.16406,-66.55884,134.1614,1.919623,3.139801,-2.098389,sidetoside,
2.301025,-26.34888,-24.96033,2.728601,3.786926,-2.227173,sidetoside,
-7.507324,-62.21619,-19.21692,4.061331,4.373016,-1.798401,sidetoside,
-24.26758,-14.91547,-0.01220703,7.832812,4.09317,-0.07995605,sidetoside,
-17.68799,5.278015,20.93506,9.490883,3.308105,1.225891,sidetoside,
31.45752,123.0499,137.0605,0,0,0,sidetoside,
-20.11719,-82.25555,-15.05127,6.040533,1.286621,1.264648,sidetoside,
20.58716,20.1004,77.44141,6.305451,1.372833,1.634216,sidetoside,
14.49585,61.203,-23.01331,1.966748,0.8256531,0.5059814,sidetoside,
-14.96582,0.9521484,-39.37683,0,0,0,sidetoside,
86.16333,-0.6500244,108.1635,2.742457,3.049622,1.498718,sidetoside,
18.75,2.282715,-21.82617,0.9457922,2.659607,1.758728,sidetoside,
55.51147,4.803467,-14.18152,-0.3533792,1.981506,3.294678,sidetoside,
148.8403,4.498291,66.0614,-0.7122612,3.828125,6.337891,sidetoside,
-82.24487,-16.45203,-77.4231,-0.8623028,2.09198,6.012878,sidetoside,
-21.44775,-7.653809,-22.56775,-0.9279585,1.608887,6.068115,sidetoside,
-16.35742,-13.29651,-32.21436,-0.7468271,0.5879211,6.385498,sidetoside,
-189.2151,26.4679,-6.011963,0,0,0,sidetoside,
309.8633,-51.31073,-13.8855,-1.122112,2.203522,-3588.453,sidetoside,
-193.6829,28.57666,-2.850342,-0.3815222,1.43158,4.801529,sidetoside,
59.75342,-0.8468628,-19.67163,-0.4102421,5.323181,11.24031,sidetoside,
85.28442,-2.653503,-28.34473,-0.5291462,10.88959,20.38576,sidetoside,
-134.0637,18.2373,54.44641,-0.2732706,9.07486,15.83639,sidetoside,
