r_shoulder_JNTa_x,r_shoulder_JNTa_y,r_shoulder_JNTa_z,r_shoulder_JNTw_x,r_shoulder_JNTw_y,r_shoulder_JNTw_z,
-0.2394218,-0.4174232,0.5916357,3.163436,5.422058,13.19245,
0.6408803,-0.5581617,-0.1389503,3.356496,2.344055,3.1949,
0.03907904,-0.1533985,0.02595186,3.144664,2.202759,3.011823,
0.1181915,-0.04731417,-0.1270294,4.553268,1.514282,1.367998,
0.0304319,-0.02989769,-0.02496243,4.088932,1.351318,1.241226,
0.02423003,-0.009536743,0.1221061,7.585552,0.8883667,0.8115101,
0.03974736,0.04498959,-0.1078963,7.00568,0.5230713,0.4924393,
0.06800666,0.06510019,0.5887032,16.92644,1.072998,-0.6091595,
0.01657233,-0.04370213,0.006592274,17.25279,1.110535,-0.5941486,
0.006647408,0.04327297,-0.271821,13.60761,0.9918213,-0.2020645,
-0.0009730458,0.04175901,-0.1345038,12.04572,1.042175,0.09748459,
-0.008411705,0.02679825,-0.133419,9.994774,0.8209229,0.718298,
-0.006707013,0.01345873,-0.06620884,8.922796,0.7345581,0.9510136,
-0.003848225,0.05397797,-0.1103401,6.984701,0.8139038,1.032028,
-0.003410131,-0.007998943,0.08955002,8.646574,1.351318,1.700621,
0.01113117,0.09174347,-0.2546668,4.08947,0.9912109,0.7425022,
0.07550269,0.102365,0.109148,6.220818,-3596.204,0.6000519,
-0.001110882,0.02720356,-0.3212571,1.240892,2.193071,-0.8887768,
0.002331287,0.03581047,-0.2867341,-2.958689,1.116101,-2.3596,
0.01751408,0.03420115,-0.0837326,-3.997202,1.341792,-2.944002,
0.03509372,0.1088619,-0.2150416,-7.175417,1.566054,-4.147906,
-0.01520514,-0.01243353,-0.01226664,-7.291336,1.533027,-4.082775,
0.003970414,0.05608797,-0.1051068,-9.144688,1.169126,-4.211226,
0.006449223,0.04606247,-0.1992106,-11.62362,1.642432,-4.795656,
0.03956482,0.1928806,-0.757122,-21.10601,3.54967,-5.707636,
-0.03906041,-0.2775669,0.465703,-15.55025,2.686085,-4.239898,
-0.05976185,0.009679794,0.3340125,-10.51818,0.756129,-1.281557,
-0.01051426,-0.1892924,0.1071453,-7.177739,0.3815985,-0.7121468,
0.1687169,0.09013414,-0.07052422,-8.256412,-0.7749748,-0.09778976,
0.03458709,-0.2201676,-0.1495004,-7.067294,-0.9213519,0.03633499,
0.07640868,-0.1980782,0.2797604,-3.982842,-0.9039152,-0.3631496,
0.09751767,-0.2613902,-0.03651381,-5.034932,-1.193764,-0.5313015,
0.142701,-0.3601551,0.3851652,-3.884945,-2.940162,-4.434671,
-0.02549067,-0.2068043,0.4863501,-3.537484,-3.223562,-5.206261,
-0.08525625,0.2766371,0.3577948,-1.902606,-3.874395,-6.246068,
-0.2118386,0.5685925,-0.1684666,0.09817064,-2.711249,-4.347901,
-0.05118921,0.1044154,-0.07671118,0.583216,-2.466048,-3.143539,
0.01126565,0.03421307,0.009131432,1.01949,3597.179,-3.071353,
-0.03166012,0.01863241,-0.01014471,1.283101,-2.598572,-2.469049,
-0.06086566,0.0425458,-0.04627705,1.556327,-2.033997,-1.355183,
-0.1306325,0.1167893,-0.1519322,1.40072,-1.748352,0.4609108,
-0.1680546,0.1677036,-0.1701117,1.533995,-1.866455,2.856038,
0.0103984,0.1101732,-0.06035566,0.867945,-1.295166,2.626216,
0.01139045,0.1551151,-0.05022287,-0.1994324,-0.3509521,2.13109,
-0.03283769,0.02192259,0.07735491,-0.2090907,-0.3027344,2.089391,
-0.1217447,0.4410028,0.2010107,-0.389179,-0.02624512,2.407119,
-0.06439611,-0.1470804,0.2353191,-0.2733278,0.1654053,2.26965,
-0.06055795,-0.1888633,0.07795095,0.08375645,0.9277344,1.98971,
0.1222897,-0.3148317,0.04572868,0.04225016,0.6668091,1.430004,
-0.3717165,-0.2565384,0.5986571,4.390546,1.954651,3.940125,
0.1609925,-0.5692363,-0.1434565,4.079854,1.696472,3.559856,
0.4247226,0.2793431,-0.4503846,4.747612,0.7418823,2.613273,
0.01634583,-0.05067587,0.007748604,4.571877,0.7003784,2.520804,
0.009912252,0.06117821,0.01001358,6.424608,0.4495239,3.168097,
0.004246831,-0.08727312,-0.08559227,6.591806,0.4754639,3.277955,
0.01418218,0.1003504,0.02695322,6.182799,0.3561401,2.816157,
-0.02083257,-0.1261592,0.2562046,9.678917,0.6018066,4.463487,
-0.08906126,-0.07809401,0.4242182,16.77039,0.8572388,6.632142,
0.01405999,-0.007653236,-0.08075237,15.25068,0.9786987,6.299911,
0.03210828,0.05050898,-0.1912713,12.71969,0.9640503,4.74309,
0.03977418,0.127542,-0.310111,8.13426,-3599.321,2.671499,
0.02272055,0.02747774,-0.1011133,6.486521,0.4100171,1.766891,
0.01004711,0.0231266,-0.0656724,5.416365,0.2864169,1.309309,
0.009753555,0.007069111,-0.02026558,5.126219,0.4728185,1.070871,
0.0271298,0.1001835,-0.1854181,2.012615,0.3275222,0.2728939,
0.004883111,0.06434917,-0.1155138,0,0,0,
0,0,0,0,0,0,
0.06354004,0.3714085,-0.4684567,-4.597216,6.523081,-0.5633259,
-0.06354004,-0.3714085,0.4684567,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
2.990596,-0.5008817,-10.50271,3454.844,3580.819,-51.24902,
-3.243248,0.1105189,10.94252,3.722229,-1.257935,5.380414,
0.1322839,0.2509236,-0.2055764,2.572021,-0.4446411,2.66551,
0.04291609,0.0944376,-0.07472038,2.321777,-0.1568604,1.795216,
0.07745177,0.04500151,-0.159514,0,0,0,
-0.04995428,-0.007617474,0.3644466,6.054077,-0.5801392,1.506572,
0.2317078,0.2676845,-0.1384616,-3593.241,-1.030884,-3.342633,
0.2823576,0.6939054,-0.5517125,6.929229,-1.880493,-9.579885,
-0.2049271,-0.2202868,0.1661181,4.572984,-1.144409,-5.824926,
-0.4667874,0.09382963,0.1035571,1.065109,0.5059814,1.678624,
