hips_JNTa_x,hips_JNTa_y,hips_JNTa_z,hips_JNTw_x,hips_JNTw_y,hips_JNTw_z,
8.444214,-40.57007,72.02759,0.8323271,-0.2799988,-17.88635,
27.77557,-177.7283,128.6224,4.836533,-0.5984497,-35.4541,
20.33768,150.0916,-178.8269,4.767849,5.263672,-6.080933,
-3.394318,34.01489,-29.33044,4.310354,5.7547,-1.331787,
15.47318,-11.9751,2.883911,7.395711,11.41724,6.123047,
-16.57639,34.39331,-17.94434,5.805695,9.643555,8.470459,
6.416321,-4.718018,15.69519,10.74008,13.29102,15.84534,
-15.91949,27.47192,-3.222656,9.702845,9.319305,14.33563,
4.167938,-10.83374,1.037598,11.65782,7.875061,16.65955,
3.49884,-12.79602,0.7293701,14.38555,7.146759,-3580.154,
-12.74261,8.526611,-12.29858,11.53188,5.528412,16.95628,
-26.78375,33.43201,-32.77893,-0.5615044,-1.586761,6.672003,
-0.8766174,3.741455,0.2746582,-0.7536888,-1.23764,5.158346,
-21.97037,31.7749,-17.69409,-4.049644,-1.038055,3.621221,
10.84747,-3.912354,14.9231,-2.175207,-0.2693176,0.828948,
-1.635742,17.52625,12.78076,-1.176262,0.6932068,-2.765527,
-20.58868,49.61548,-8.52356,-2.791195,1.15387,-9.296886,
-4.125214,23.55652,-21.65222,-3.847933,0.9611511,-16.29769,
-30.65414,32.66602,-41.66565,-6.915936,1.418915,3580.671,
49.97253,-75.62866,8.151245,-8.603358,1.204987,-2.234802,
-2.882385,-3.219604,-7.992554,-8.756065,1.190338,-2.529907,
2.411652,15.2832,-30.64575,-12.7273,2.022095,-3592.062,
-2.359772,6.661987,-36.97815,-15.88206,2.546692,11.07588,
18.18619,-44.86084,59.86938,-6.878576,-0.4705811,12.09236,
-0.125885,16.25366,-54.99268,-10.67414,-1.18103,20.42604,
-6.19812,-23.42224,8.328247,-1.332824,-15.56442,30.37473,
23.6557,-20.36133,-39.16016,4.088712,-24.3779,36.73436,
-4.328156,-18.4967,163.2507,0,0,0,
-15.48843,1.400757,-7.556152,8.394226,-14.00986,10.32932,
-5.271149,-3.210449,25.26245,9.455122,-12.77451,6.346064,
15.47012,0.4974365,23.42224,9.086523,-9.460449,0.9795189,
3.302002,-0.793457,-2.407837,8.700929,-8.242035,-0.6226349,
1.987457,2.105713,-38.7207,0,0,0,
10.45303,-3.851318,82.62024,16.18736,-10.86884,-12.08992,
-11.15265,3.222656,-13.75122,9.393911,-5.161285,-12.19458,
-5.562592,-13.40027,21.12732,13.12519,-7.205811,-16.56652,
-20.19196,7.061768,-18.69812,7.848949,-3.745728,-9.319777,
-6.189728,-16.08582,47.35413,6.15284,-2.80014,-7.131763,
-5.963135,-1.745605,-40.48767,3.169718,-1.564484,-2.807746,
2.242279,-13.56812,-6.356812,1.835222,-1.25885,-1.504755,
36.36475,38.3667,-71.80786,0,0,0,
-34.10645,-67.09595,70.98083,-0.7207203,-0.7496643,1.21448,
7.830811,-114.679,33.9325,-4.538794,1.173401,6.425734,
26.27563,181.7749,-104.9133,0,0,0,
-7.765198,-417.3279,43.95447,-9.781761,5.510101,7.851944,
7.765198,417.3279,-43.95447,0,0,0,
37.44507,-135.6873,-18.56079,-1.980906,3.211517,-8.384628,
-10.31342,87.39624,9.729004,-0.1168251,1.161957,-6.715693,
15.83405,-3.161621,0.7598877,0.4262352,1.167755,-8.622341,
