acc_x_fc,acc_x_mf,acc_x_rmsf,acc_x_vf,acc_x_std,acc_y_fc,acc_y_mf,acc_y_rmsf,acc_y_vf,acc_y_std,acc_z_fc,acc_z_mf,acc_z_rmsf,acc_z_vf,acc_z_std
2.2543405987500473,989.2340821109949,2.571443178006252,1.53026848254217,1.2370402105599356,3.4887720869997705,4553124.615230071,3.6315429855323518,1.016573780740495,1.0082528357215244,3.4681398265685606,63321.04065593171,3.617024980794908,1.0548758550634014,1.0270714946211883
2.1396843233649614,814.70645731497,2.4410474199412935,1.3804635027482726,1.1749312757554258,2.4521707678932985,1866.8824236513888,2.7490544314900087,1.5441587923844458,1.2426418600644538,2.5385994576024777,1472.3772552258156,2.8100054824563006,1.451643605294869,1.204841734542288
2.1713101346032153,819.5548742920058,2.4882186171997462,1.4766441863487845,1.2151724924259866,2.52655937974816,1541.4495513386628,2.8447877397845613,1.7093149850351446,1.3074077348077549,2.6498557260355686,1591.7340361126535,2.9621491753461844,1.7525923682005877,1.323855116015566
2.5353642346456393,552.3226382804183,2.8678495692763235,1.7964893496781276,1.340331805814563,3.7970136127328296,6654.761949911823,3.9526390541021166,1.2060431167348633,1.098199943878556,2.926242118397959,1858.6194938368244,3.195579059931298,1.648832592785224,1.2840687648195575
2.8928920548519823,523.735110206847,3.1941822668291078,1.8339759126998123,1.354243668140934,3.7195523627340585,7868.147290980423,3.8654413245929438,1.1065668547503362,1.0519348148770133,2.9872905394594933,2037.1574592944028,3.2555297111041774,1.674568932737856,1.2940513640261178
2.8402726163540972,553.645987034348,3.158849506198021,1.911181667596528,1.3824549423386385,3.7190314077039184,7460.048781364088,3.8656836285196703,1.112315304316816,1.0546635977015686,3.056830871268066,1570.1059819805191,3.3376272162712453,1.7955404592570576,1.339977783120697
2.810765277413817,634.7044012268967,3.1073650939099187,1.7553163821346252,1.3248835353096609,3.725163540156581,7827.77766144099,3.872544253754776,1.1197555963772203,1.0581850482676554,2.7199613269217866,1729.999750420901,3.029771798981231,1.7813275339518388,1.3346638280675172
3.0032498243272565,792.9961177295693,3.2618472939244105,1.6201382615603008,1.272846519247431,3.0702993098407765,3252.099060137548,3.310540789715855,1.532942468363727,1.2381205387052292,2.560098016200651,1529.3358532059497,2.8441783866729073,1.535248842662792,1.2390515899924393
2.9022064754396815,512.0819977807718,3.2009815308738596,1.8234803349115438,1.3503630381906726,2.854024471916377,1905.5827582280538,3.219428680433176,2.219265342098149,1.4897198871258144,2.450495983779075,1275.5820894044414,2.7164593710553797,1.3742209480772114,1.1722717040333317
2.979697682249828,505.68368163251745,3.244421861537351,1.6476749380164903,1.2836179096664593,2.8056956753505005,2012.8987264650114,3.1911830076236756,2.3117207654655885,1.5204344002506613,2.386031982965813,1427.4517422284293,2.693407535567815,1.5612955289177182,1.2495181186832458
2.8353383415370352,360.9071942375878,3.1538041289796053,1.9073369729788159,1.3810637106878219,2.7838066337653293,3092.410808446924,3.164393250097258,2.2638052670652358,1.504594718542251,2.6249802843100527,2491.2845375560823,2.9185265953344315,1.627275994657904,1.275647284580618
2.375621197829077,176.87599688752925,2.7916169508348796,2.1495491246137743,1.4661340745695035,2.774052465852968,2959.972001488371,3.1459079627811777,2.2013698269850885,1.4837013941440806,2.653605985264461,2367.9596331179378,2.9469025669744435,1.6426100142091935,1.2816434817097904
2.729261126812777,226.90402640528032,3.0719118869615225,1.9877763429241537,1.4098852233157682,2.887792320248265,2699.8238796151045,3.242863754494861,2.1768208453316524,1.4754053156104774,2.6550983920735214,2427.3355263239923,2.9561453869322154,1.6892480770892189,1.299710766705123
