a_x,a_y,a_z,g_x,g_y,g_z,label,
1.26,2.93,2.31,-4.66,2.99,1.65,reverse,
-0.1,5.16,2.46,-4.42,3.55,1.5,reverse,
-0.37,4.99,4.86,-3.59,2.74,1.3,reverse,
-1.89,7.27,5.73,-2.34,2.5,0.91,reverse,
-0.03,6.01,6.34,-1.33,1.15,0.65,reverse,
-1.31,6.62,5.84,-0.16,0.72,0.3,reverse,
0.04,0.15,2.22,1.29,-0.04,-0.23,reverse,
0.47,-0.09,2.48,1.63,-0.2,-0.34,reverse,
0.07,-0.02,2.19,2.32,-0.18,-0.53,reverse,
-0.19,0.21,1.85,3.06,-0.07,-0.71,reverse,
0.13,-0.03,1.42,4.08,-0.37,-0.91,reverse,
0.09,-0.22,1.56,4.23,-0.2,-0.95,reverse,
0.01,-0.65,1.93,3.9,-0.07,-0.93,reverse,
-0.22,-0.56,1.64,3.58,-0.19,-0.85,reverse,
-0.14,-1.33,0.82,3.19,-0.49,-0.75,reverse,
-0.01,-1.86,2.25,3.12,-0.51,-0.69,reverse,
0.11,-1.65,2,3.04,-0.54,-0.61,reverse,
0.02,-1.97,1.8,2.84,-0.5,-0.56,reverse,
-1.52,-1.44,2.2,1.27,0.89,-0.26,reverse,
-0.79,-1.22,1.51,0.84,-0.8,-0.05,reverse,
0.25,-1.45,-0.62,0.23,-1.02,0.29,reverse,
0.21,-0.16,-0.93,-1.02,-0.02,0.64,reverse,
0.9,1.16,-0.39,-2.29,0.64,0.78,reverse,
0.16,2.12,0.58,-3.36,1.37,0.7,reverse,
-0.63,3.27,1.75,-4.49,1.25,0.49,reverse,
-0.69,3.41,2.55,-4.95,1.24,0.26,reverse,
-0.61,3.53,2.88,-4.8,1.19,0.17,reverse,
-1.08,3.67,3.67,-3.94,1.23,0,reverse,
0.54,2.89,6,-3.07,0.15,0.08,reverse,
-0.18,2.5,6.52,-1.83,0.44,-0.09,reverse,
0.19,2.07,6.48,0.41,-0.58,-0.3,reverse,
-0.29,1.71,6.06,3,-1.52,-0.59,reverse,
0.18,0.39,4.86,5.05,-2.1,-0.82,reverse,
-0.02,-1.2,2.82,6.65,-2.67,-0.76,reverse,
0.98,-3.04,-0.86,6.09,-2.48,-0.5,reverse,
1.22,-3.84,-1.78,4.57,-2.51,-0.43,reverse,
1.1,-4.1,-3.29,3.46,-1.91,-0.4,reverse,
1.94,-5.67,-4.34,1.54,-1.01,-0.11,reverse,
1.67,-4.76,-4.91,-0.57,0.32,0.2,reverse,
1.26,-1.41,-2.43,-3.1,1.54,0.42,reverse,
0.32,0.67,-1.33,-4.46,2.05,0.22,reverse,
-0.59,1.93,-1.19,-6.12,2.4,-0.01,reverse,
-1.24,3.24,3.12,-7.02,2.87,0.01,reverse,
-1.3,4.42,5.22,-6.21,2.75,0.05,reverse,
-1.71,4.7,7.99,-3.66,2.08,0.12,reverse,
-5.14,5.12,10,-1.04,1.73,0.07,reverse,
-0.24,4.28,10.61,1.09,-0.82,0.05,reverse,
-1.68,4.44,7.84,3.46,-1.38,-0.05,reverse,
-2.25,3.88,5.97,5.51,-2.31,-0.17,reverse,
-1.8,2.31,3.46,6.54,-2.55,-0.33,reverse,
-0.47,-1.02,-3.15,5.64,-2.41,-0.22,reverse,
0.76,-1.32,-5.38,2.73,-1.79,-0.05,reverse,
1.28,-2.31,-6.95,-0.54,-0.11,-0.07,reverse,
1.16,-2.37,-5.96,-3.07,1.43,0.04,reverse,
0.72,-1.92,-0.38,-4.89,2.63,0.02,reverse,
0.21,-2.02,3.46,-4.79,2.58,0.02,reverse,
-0.03,-1.31,4.2,-4.02,2.2,0.18,reverse,
-0.51,-0.41,4.49,-3.12,1.81,0.22,reverse,
-1.26,0.88,3.2,-1.99,1.55,0.25,reverse,
-2.16,2.6,5.35,-1.37,0.35,0.36,reverse,
-1.8,3.68,3.29,-0.57,0.2,0.05,reverse,
-1.64,3.61,2.7,-0.51,0.37,0.03,reverse,
-2.83,4.27,1.24,-0.45,0.67,0.19,reverse,
-3.03,3.95,0.72,-0.46,0.91,0.32,reverse,
-2.87,3.84,1.54,-0.32,1.12,0.4,reverse,
-2.45,2.49,1.76,-0.28,1.16,0.46,reverse,
-2.19,1.54,2.53,-0.43,1.27,0.62,reverse,
-13.74,6.61,10.01,-0.4,1.15,0.78,reverse,
-0.75,-1.9,-0.21,0.81,0.57,0.81,reverse,
-2.28,-0.02,1.66,-0.22,-0.11,1.18,reverse,
-0.89,0.69,1.82,-0.16,0.12,1.07,reverse,
