a_x,a_y,a_z,g_x,g_y,g_z,label,
-0.75,0.88,2.97,1.52,-0.22,1.28,sidecrunch,
-1.13,0.65,3.45,2.07,-0.01,1.67,sidecrunch,
-1.52,0.61,3.42,2.43,-0.02,1.99,sidecrunch,
-1.39,0.65,3.84,2.71,0.05,2.21,sidecrunch,
-1.51,0.83,4.79,3.31,0.32,2.43,sidecrunch,
-1.94,1.02,5.5,4,0.53,2.73,sidecrunch,
-1.86,0.87,5.17,4.56,0.55,3.03,sidecrunch,
-0.71,0.51,4.6,5.24,0.84,3.39,sidecrunch,
-0.66,0.05,4.18,5.59,1.46,3.34,sidecrunch,
-0.94,-0.05,4.92,5.46,1.46,3.17,sidecrunch,
0.04,-0.58,4.42,5.13,1.72,2.68,sidecrunch,
-1.19,-2.26,5.53,5.01,1.71,2.07,sidecrunch,
-1.48,-3.52,4.71,5.23,1.46,1.61,sidecrunch,
-1.9,-4.71,3.91,5.28,1.53,1.34,sidecrunch,
-2.3,-6.36,3.4,5.16,1.35,1.09,sidecrunch,
-2.55,-7.77,2.12,5.04,1.37,0.88,sidecrunch,
-2.92,-8.74,1.71,4.58,1.15,0.67,sidecrunch,
-2.63,-9.44,0.68,4.15,0.86,0.52,sidecrunch,
-2.84,-9.83,0.37,3.51,0.75,0.29,sidecrunch,
-2.89,-10.15,-0.25,3.08,0.54,0.18,sidecrunch,
-2.65,-9.84,-0.68,2.83,0.4,0.13,sidecrunch,
-2.74,-9.67,-1.16,2.64,0.26,0.11,sidecrunch,
-2.68,-9.58,-1.98,2.41,0.15,0.15,sidecrunch,
-2.58,-9.26,-2.19,2.06,0.08,0.21,sidecrunch,
-2.26,-8.75,-2.54,1.87,0,0.29,sidecrunch,
-1.53,-7.88,-3.1,1.65,-0.14,0.4,sidecrunch,
-1.02,-7.02,-3.12,1.48,-0.26,0.42,sidecrunch,
-0.36,-6.3,-3.42,1.28,-0.35,0.38,sidecrunch,
-0.06,-5.81,-3.87,1.01,-0.26,0.3,sidecrunch,
0.53,-5.79,-4.97,0.26,-0.2,0.2,sidecrunch,
0.7,-5.83,-5.75,-0.76,-0.29,0.14,sidecrunch,
0.47,-4.87,-4.64,-1.51,0.08,0.16,sidecrunch,
0.54,-3.23,-2.34,-2.26,0.36,0.1,sidecrunch,
0.45,-1.72,-0.35,-2.58,0.14,-0.08,sidecrunch,
0.39,-0.96,0.65,-2.62,-0.18,-0.18,sidecrunch,
0.38,-0.21,1.41,-2.55,-0.58,-0.27,sidecrunch,
0.31,0.35,1.55,-2.56,-0.86,-0.35,sidecrunch,
0.44,0.83,1.68,-2.66,-0.94,-0.38,sidecrunch,
0.48,1.67,2.26,-2.93,-0.93,-0.45,sidecrunch,
0.52,2.68,3.41,-3.03,-0.92,-0.52,sidecrunch,
0.68,3.17,3.75,-2.94,-0.98,-0.54,sidecrunch,
0.89,3.6,3.91,-2.78,-1.21,-0.55,sidecrunch,
1.27,4.02,3.97,-2.61,-1.21,-0.53,sidecrunch,
1.4,4.37,4.19,-2.53,-1.08,-0.53,sidecrunch,
1.47,4.92,4.71,-2.51,-0.78,-0.55,sidecrunch,
1.56,5.33,5.02,-2.45,-0.54,-0.61,sidecrunch,
1.54,5.54,5.26,-2.46,-0.59,-0.65,sidecrunch,
1.38,5.85,5.31,-2.46,-0.56,-0.68,sidecrunch,
0.99,6.09,5.27,-2.71,-0.38,-0.71,sidecrunch,
0.78,6.47,5.14,-3.06,-0.27,-0.72,sidecrunch,
0.8,7.14,5.23,-3.58,-0.16,-0.76,sidecrunch,
1.22,7.8,5.44,-3.76,-0.39,-0.8,sidecrunch,
1.76,8.81,5.45,-3.59,-1.06,-0.83,sidecrunch,
2.87,9.76,4.56,-3.1,-1.32,-0.78,sidecrunch,
3.68,9.5,3.54,-2.86,-1.26,-0.87,sidecrunch,
3.37,9.46,2.7,-2.82,-0.98,-1.14,sidecrunch,
2.95,9.18,2.49,-3.08,-0.67,-1.35,sidecrunch,
2.99,9.32,2.35,-3.32,-0.48,-1.5,sidecrunch,
2.82,9.57,3.22,-3.47,-0.66,-1.69,sidecrunch,
2.67,9.75,3.3,-3.36,-1.21,-1.74,sidecrunch,
2.67,9.9,2.88,-3.26,-1.53,-1.73,sidecrunch,
-0.38,1.02,2.61,-3.19,-1.86,-1.72,sidecrunch,
-0.3,1.12,2.52,-3.19,-1.74,-1.68,sidecrunch,
-0.22,1.4,2.78,-3.09,-1.57,-1.62,sidecrunch,
-0.06,1.39,3.11,-2.86,-1.55,-1.49,sidecrunch,
0.21,1.18,2.99,-2.26,-1.22,-1.23,sidecrunch,
0.07,0.76,2.5,-1.62,-0.81,-0.93,sidecrunch,
0.02,0.35,2.2,-1.29,-0.53,-0.69,sidecrunch,
-0.07,0.28,2.21,-1.16,-0.42,-0.57,sidecrunch,
-0.13,0.25,2.08,-1.06,-0.35,-0.43,sidecrunch,
-0.11,0.28,2.21,-1.04,-0.36,-0.38,sidecrunch,
-0.18,0.46,2.24,-1.26,-0.58,-0.44,sidecrunch,
0.09,0.56,1.81,-1.4,-0.91,-0.52,sidecrunch,
0.41,0.55,1.35,-1.62,-1.12,-0.67,sidecrunch,
0.51,0.39,0.83,-1.76,-1.24,-0.77,sidecrunch,
0.71,0.59,0.7,-1.73,-1.23,-0.7,sidecrunch,
0.77,1.05,1.01,-1.24,-0.74,-0.45,sidecrunch,
-0.08,1.14,1.98,-0.52,-0.1,-0.02,sidecrunch,
-0.54,1.22,3.33,0.72,0.49,0.72,sidecrunch,
-0.94,1.12,3.51,1.64,0.97,1.25,sidecrunch,
-0.64,1.17,3.35,2.44,1.14,1.82,sidecrunch,
-0.45,1.47,3.69,2.79,1.35,2.04,sidecrunch,
-0.5,1.59,3.85,2.94,1.45,2.08,sidecrunch,
