a_x,a_y,a_z,g_x,g_y,g_z,label,
0.97,-1.89,1.75,-0.19,0.81,-0.78,reverse,
0.87,-1.76,1.76,-0.17,0.48,-0.65,reverse,
1.12,-1.5,1.16,-0.18,0.27,-0.59,reverse,
1.44,-1.04,0.87,-0.25,0.26,-0.64,reverse,
1.34,-0.82,0.83,-0.4,0.31,-0.81,reverse,
0.88,-0.63,1.28,-0.47,0.47,-0.92,reverse,
0.35,-0.34,1.9,-0.44,0.38,-0.97,reverse,
0.02,-0.19,2.23,-0.31,0.19,-0.95,reverse,
0.05,-0.3,1.88,-0.22,0.11,-0.89,reverse,
0.05,-0.36,1.79,-0.17,-0.02,-0.83,reverse,
0.02,-0.36,1.78,-0.17,0.02,-0.68,reverse,
0.02,-0.48,1.51,-0.22,0.06,-0.49,reverse,
0.19,-0.31,1.66,-0.27,0.04,-0.35,reverse,
0.31,-0.05,1.65,-0.32,0.01,-0.29,reverse,
-0.3,-0.14,1.43,-0.46,-0.02,-0.1,reverse,
-0.61,-0.24,1.75,-0.7,-0.25,0.27,reverse,
-0.28,-0.02,2.07,-0.75,-0.45,0.63,reverse,
0.12,0.33,1.95,-0.69,-0.59,0.88,reverse,
0.38,0.56,1.77,-0.55,-0.58,0.99,reverse,
0.47,0.7,1.59,-0.46,-0.58,1.05,reverse,
0.79,1.06,1.33,-0.38,-0.75,1.05,reverse,
0.95,1.05,1.36,-0.26,-0.83,0.95,reverse,
1.47,0.89,1.22,-0.11,-0.85,0.88,reverse,
1.75,0.66,1.15,-0.04,-0.9,0.83,reverse,
2.36,0.58,1.04,0.02,-0.93,0.75,reverse,
3.58,0.21,0.29,-0.01,-1.01,0.58,reverse,
4.99,0.14,0.12,-0.25,-0.8,0.23,reverse,
5.99,-0.03,0.04,-0.39,-0.43,-0.16,reverse,
5.66,-0.26,0.9,-0.58,0.16,-0.77,reverse,
4.35,-0.41,1.49,-0.54,0.64,-1.2,reverse,
3.03,-0.46,1.52,-0.42,0.85,-1.46,reverse,
1.86,-0.29,1.43,-0.37,0.89,-1.5,reverse,
1.31,0,1.38,-0.34,0.93,-1.48,reverse,
0.39,0.23,1.41,-0.32,1.01,-1.47,reverse,
-0.42,0.1,1.81,-0.27,1.01,-1.37,reverse,
-1.34,0.11,2.13,-0.2,0.94,-1.22,reverse,
-1.85,-0.18,2.53,-0.09,0.74,-0.93,reverse,
-1.99,-0.11,2.62,0.01,0.51,-0.75,reverse,
-1.92,-0.46,2.47,0.13,0.32,-0.53,reverse,
-1.73,-0.76,2.4,0.19,0.16,-0.33,reverse,
-1.11,-1,2.03,0.17,0.09,-0.18,reverse,
-0.84,-1.21,2.05,0.08,0.13,-0.06,reverse,
-0.61,-1.32,2.15,0.03,0.2,0.03,reverse,
-0.51,-1.25,2.38,0.02,0.23,0.12,reverse,
-0.6,-1.3,2.33,0.04,0.15,0.2,reverse,
-0.54,-1.08,2.1,0.06,0.07,0.29,reverse,
-0.62,-0.98,1.97,0.08,0.05,0.36,reverse,
-0.92,-1.08,1.89,0.09,0.04,0.55,reverse,
-1.18,-1.09,1.34,0.01,-0.1,0.89,reverse,
-0.11,-0.81,1.07,-0.19,-0.32,1.2,reverse,
0.8,-0.21,1.16,-0.29,-0.34,1.23,reverse,
1.29,0.19,1.53,-0.3,-0.19,1.11,reverse,
1.53,0.26,1.7,-0.27,-0.15,0.91,reverse,
2.03,0.16,1.77,-0.23,-0.2,0.68,reverse,
2.19,0.22,1.82,-0.19,-0.16,0.42,reverse,
2.11,0.22,1.6,-0.16,-0.02,0.27,reverse,
2.01,0.15,1.5,-0.19,0.16,0.13,reverse,
1.76,0.26,1.57,-0.24,0.27,0.05,reverse,
1.67,0.4,1.59,-0.26,0.34,0.02,reverse,
1.57,0.54,1.76,-0.27,0.39,-0.07,reverse,
1.48,0.68,1.87,-0.24,0.42,-0.2,reverse,
1.21,0.67,1.95,-0.19,0.47,-0.29,reverse,
1.14,0.71,2.01,-0.13,0.48,-0.34,reverse,
1.04,0.75,1.96,-0.05,0.44,-0.46,reverse,
0.79,0.6,1.89,0.02,0.41,-0.57,reverse,
0.63,0.42,1.83,0.06,0.41,-0.6,reverse,
0.49,0.3,1.8,0.07,0.41,-0.6,reverse,
0.25,0.14,1.73,0.06,0.45,-0.59,reverse,
-0.23,-0.09,1.96,0.03,0.49,-0.52,reverse,
-0.22,-0.13,2.03,0.03,0.39,-0.46,reverse,
-0.3,-0.13,2.09,0.09,0.27,-0.45,reverse,
-0.46,-0.47,1.91,0.13,0.18,-0.42,reverse,
-0.53,-0.7,1.87,0.12,0.12,-0.33,reverse,
-0.47,-0.74,2.03,0.09,0.14,-0.22,reverse,
-0.33,-0.77,2.03,0.07,0.12,-0.17,reverse,
-0.36,-0.86,2.05,0.05,0.11,-0.14,reverse,
-0.35,-0.87,2.07,0.05,0.1,-0.1,reverse,
